domain	clade
AQM58286.1.A1	0
AN2545.A2|CBF87069.1.A2	1
BAO73252.1.A6	2
XP_003044554.1.A4	3
EDY47118.1.A3	4
CAA40561.1.A3|P27743.A3	4
BAA08846.1.A3|P94873.A3	4
AAA63415.1.A3|ABA70582.1.A3|ABR12615.1.A3|P19787.A3|P26046.A3	4
KFH48607.1.A3|P25464.A3	4
AAK1902.1.A3|AAK21902.1.A3|Q9C1G0.A3	4
AAA03914.1.A3|P27742.A3	4
AAM78457.1.A4	5
CAP93139.1.A4	6
CBF87869.1.A4	6
ESU17760.1.A5	7
AGZ15460.1.A1	8
CDN62030.1.A1	9
CAD92849.1.A1	9
ARO38317.1.A2	10
ClsI.A1	11
CAD70195.1.A2	12
CBF87869.1.A2	13
WP_011145264.1.A1	14
WP_011145262.1.A1	15
WP_011145263.1.A1	15
CBJ90288.1.A1|WP_013184318.1.A1	16
CBJ90289.1.A1|WP_013184319.1.A1	16
ABQ96384.2.A3	17
WP_018540607.1.A2	18
WP_107406787.1.A1	19
QGA70148.1.A2	20
ADG27358.1.A2|O68487.A2|WP_057667184.1.A2	21
AEH41794.1.A2	22
ADG27359.1.A3	23
Q9L8H4.A3	23
QRG35014.1.A2	24
BAX89998.1.A1	24
QDJ74275.1.A3	24
WP_015507662.1.A5	25
WP_015507662.1.A3	25
WP_015507663.1.A3	25
WP_125939455.1.A3	25
QEO75076.1.A1	25
QEO74982.1.A6	25
QDJ74274.1.A1	25
ARU08073.1.A2	25
CAM56771.1.A1	26
QBG38783.1.A3	27
AJV88375.1.A1	28
CBZ42143.1.A1	29
AJV88377.1.A2	30
AET98905.1.A2	31
AIW58892.1.A2	32
AIW58892.1.A6	32
AIW58892.1.A8	32
AIW58892.1.A9	32
AIW58892.1.A11	32
BAE98156.1.A2	32
BAH04161.1.A2	32
QGA70148.1.A10	32
AIW58892.1.A1	32
QGA70148.1.A12	32
AIW58892.1.A13	33
QGA70148.1.A8	33
QGA70148.1.A7	33
QGA70148.1.A1	33
QGA70148.1.A5	33
AEP18655.1.A5	34
ALK27914.1.A3	35
ALK27915.1.A5	35
ACY06285.1.A1	36
AAT12283.1.A1	37
CDG17981.1.A2	38
CDG17982.1.A4	38
CDG17980.1.A3	38
CDG17980.1.A7	38
WP_047197779.1.A5	38
ARU08075.1.A1	39
ANZ15840.1.A2	39
ATU31794.1.A2	39
AJW76710.1.A2	40
CAD70194.1.A1|Q83Y49.A1	41
AGC65514.1.A1	42
CCM44337.1.A2	43
AGC65516.1.A1	44
AXM43052.1.A1	44
ABP57748.1.A1	45
QCP68971.1.A1	46
WP_234859471.1.A3	46
WP_234859472.1.A1	46
WP_234859472.1.A5	46
CAD92851.1.A1	46
CAD92850.1.A4	46
AGM16412.1.A2	46
AGM16413.1.A1	46
AGM16414.1.A1	46
CAD92851.1.A2	46
AIW82282.1.A1	46
AXN93601.1.A1	46
AXN93613.1.A1	46
ADH04679.1.A2	46
AWI62629.1.A1	46
ACG60778.1.A1	46
BAV57451.1.A1	46
QVQ62856.1.A1	46
ARO38317.1.A3	46
AXN93580.1.A1|AXN93589.1.A1	46
CCB53264.1.A1	47
MAA_10043.A5	48
CCB53267.1.A1	49
ADL64235.1.A1	50
ABD14712.1.A2	51
ABQ96384.2.A2	52
QRN75755.1.A1	53
ABA59547.1.A2|Q1PSF4.A2	53
RLV71193.1.A2	53
ORC16618.1.A2	53
ORC16617.1.A2	53
ABA59548.1.A2	53
RLV71192.1.A2	53
NSC20094.1.A1	53
AFJ14794.1.A6	54
AAU39360.1.A1	55
CAA06324.1.A1|O69246.A1	55
O66070.A1	55
CAB13715.1.A2|P39847.A2	56
CAE02631.1.A1	57
Q45675.A1|WP_069322367.1.A1	57
Q04747.A1	57
BAH43766.1.A4	58
O30409.A4	58
BAA06146.1.A2|CAA43838.1.A2|P0C063.A2|Q44928.A2	58
AHI59110.1.A2	59
WP_043882190.1.A2	60
AHF21228.1.A1	61
AHF21229.1.A1	61
QKM21619.1.A1	62
QKM21620.1.A2	62
NHN68324.1.A1	62
NHN68325.1.A2	62
CAD17793.1.A1	62
AFJ23825.1.A2	62
CAK15814.1.A1	62
CAK15815.1.A2	62
CAK15815.1.A5	62
AGM14933.1.A2	62
AGM14933.1.A6	62
BCJ07533.1.A2	62
BCJ07532.1.A4	62
ABW17376.1.A5	62
AHZ34242.1.A1	62
AAF99707.2.A4|Q9FDB3.A4	62
AFH75321.1.A6	62
KPN93064.1.A1	62
APU91750.1.A12	62
AAF99707.2.A3|Q9FDB3.A3	62
AAO72424.1.A2|Q83VS1.A2	62
AAO72424.1.A3|Q83VS1.A3	62
AHZ34239.1.A3	62
AHZ34241.1.A1	62
AHZ34242.1.A3	62
KPN90376.1.A3	62
KPN90376.1.A1	62
AFH75320.1.A5	62
AFH75321.1.A2	62
AFH75321.1.A3	62
AAO72425.1.A1|Q83VS0.A1	62
CCJ67637.1.A2	62
CCJ67638.1.A2	62
CCJ67638.1.A3	62
CCJ67639.1.A3	62
CAY48788.1.A2	62
KPN93063.1.A6	62
APU91750.1.A5	62
APU91750.1.A8	62
APU91750.1.A9	62
AFZ61525.1.A2	62
CBW75452.1.A1|QIH29228.1.A4	63
CBW75453.1.A1|QIH29228.1.A1	63
QIH29228.1.A3	63
WP_013428324.1.A7	64
WP_013428774.1.A1	65
CBJ90082.1.A1	66
WP_011146892.1.A9	67
CBJ90082.1.A3	68
CBJ90082.1.A4	68
WP_011146892.1.A7	69
WP_011146892.1.A11	69
WP_011146892.1.A14	69
WP_011146892.1.A15	69
WP_011146892.1.A4	70
AGC65514.1.A3	71
AEC14349.1.A1	72
OAL11475.1.A1	73
QOE83925.1.A1	73
AAO56329.1.A3	74
AHZ34233.1.A3	75
AFH75329.1.A2	76
AFH75330.1.A4	76
AAY91421.3.A4	76
WP_234859472.1.A3	77
ATY37590.1.A3	78
ATY37591.1.A1	79
AAY29580.1.A2	80
AAY29580.1.A3	81
ATY37592.1.A2	82
ATY37590.1.A2	83
QUS58936.1.A1	84
ABV79986.1.A1	85
ACZ55943.1.A1	85
AJV88376.1.A1	86
ATD05720.1.A1|ERG36783.1.A1|WP_010369428.1.A1	87
CBW75453.1.A3	88
BBC83957.1.A9	89
BBC83957.1.A3|BBC83957.1.A6	89
BBC83957.1.A4	89
CAA82227.1.A4|Q09164.A6|ctg1_orf003.A4	89
ATQ39428.1.A4	89
CAA82227.1.A9|Q09164.A11|ctg1_orf003.A9	89
ATQ39428.1.A9	89
ACJ04424.1.A2|ACJ04424.1.A7|ACJ04424.1.A9|B6SF67.A2|B6SF67.A7|B6SF67.A9	90
CAA79245.2.A2|Q00869.A2	91
ABF87031.1.A6|YP_631961.1.A5	92
Ga0173608_11674.A13	93
Ga0173608_11675.A10	93
Ga0173608_11676.A1	93
Ga0173608_11676.A3	93
Ga0173608_11676.A4	93
Ga0173608_111989.A7	93
Ga0173608_112008.A4	93
