domain	clade
AAA33023.2.A1|Q01886.A1	0
AGQ43600.1.A1	1
BAO73252.1.A3	2
MAA_10043.A3	3
CRG85572.1.A2	3
astN.A2	3
CAB39315.1.A3|O94205.A3	4
AFUA_8G00170.A1|BAH23995.1.A1	5
AGC83576.1.A1	5
ADM34138.1.A1	5
AAM78457.1.A13	6
AGA37267.1.A1	7
AFUA_8G00170.A2|BAH23995.1.A2	8
AAT28740.1.A1	9
AGC24265.1.A1	10
AWS21276.1.A1|AZY92000.1.A1	10
AEH42484.1.A1	10
ACN69986.1.A1	10
AXG22420.1.A1	10
MBA5221218.1.A1	10
ACR33075.1.A1	10
ADZ24989.1.A1	10
ATG32071.1.A1	10
CBW75455.1.A1|QIH29226.1.A1	10
CBW75453.1.A2|QIH29228.1.A2	11
CDG76959.1.A1	12
WP_013184463.1.A3	13
SOV25620.1.A3	13
AWI62627.1.A1	13
QUS58938.1.A2	14
ATJ34002.1.A1	15
AFK57214.1.A1	15
AFK57220.1.A1	15
QBC75022.1.A3	16
ADG27359.1.A1|Q9L8H4.A1	16
AKC91856.1.A2	16
QED88054.1.A3	16
QED88055.1.A2	16
ALV86867.1.A3	16
AEA30273.1.A2	16
CAA67249.1.A1|O07944.A1	16
CAA72310.1.A1|O05647.A1	16
QBG38783.1.A2	16
CAM56771.1.A2	16
QED55422.1.A3	16
AEG64698.1.A2	17
ALV86868.1.A2	18
AEU11003.1.A1	19
AHJ31215.1.A2	19
AVR48535.1.A2	19
AAF17281.1.A2	19
Q9RAH1.A2	19
WP_012408786.1.A2	19
AEU11003.1.A4	19
AIW82277.1.A2	20
AXN93575.1.A2|AXN93584.1.A2	20
AXN93592.1.A2	20
AXN93605.1.A2	20
ADZ24999.1.A1	21
ADA69239.2.A2	22
WP_051462298.1.A2	22
AGM16413.1.A5	23
BAH43765.1.A1	23
AAC45929.1.A1|O30408.A1	23
BAA06146.1.A1|P0C063.A1|Q44928.A1	23
CAA43838.1.A1	23
CAA84363.1.A1|P94459.A1	23
AAB80955.2.A1|O30980.A1	23
ABS74180.1.A3|CAE11249.1.A3	23
AAN07013.1.A3	23
ABS74206.1.A1	23
BAB69699.1.A4|Q93I55.A4	23
AHD05678.1.A4	23
AAF08796.1.A4|Q9R9J0.A4	23
ADQ74618.1.A1	24
Ga0173608_11676.A5	24
Ga0173608_111990.A4	24
Ga0173608_112008.A10	24
Ga0173608_111498.A5	24
Ga0173608_112053.A2	24
Ga0173608_111792.A2	24
Ga0173608_112008.A5	24
CDF96614.1.A2	24
WP_004571777.1.A2	24
CDG17980.1.A1	25
CDG17982.1.A3	25
AXA91302.1.A3	25
AXA91301.1.A1	25
AXA91302.1.A1	25
AAF99707.2.A2	25
Q9FDB3.A2	25
CCJ67636.1.A2	25
AHZ34238.1.A2	25
AFH75320.1.A2	25
KPN93063.1.A2	25
APU91750.1.A2	25
APZ78769.1.A2	25
APZ78782.1.A2	25
APZ78795.1.A2	25
APZ78744.1.A2	25
APZ78756.1.A2	25
AQM37584.1.A2	25
APZ78729.1.A3	25
APZ78809.1.A2	25
AXM43052.1.A3	25
ATD51279.1.A1	26
ATD51280.1.A1	26
WP_078889006.1.A1	26
QUS58936.1.A2	26
QKM21620.1.A4	26
NHN68325.1.A4	26
Q9KWY7.A1	27
PHM26613.1.A2	28
ACJ04424.1.A5|B6SF67.A5	29
WP_064118616.1.A1	30
