domain	clade
ALK27914.1.A1	0
ALK27915.1.A6	1
ALK27914.1.A2	1
ALK27914.1.A4	1
ALK27915.1.A2	1
ALK27915.1.A4	1
WP_125938384.1.A2	1
WP_125939455.1.A1	1
WP_125939455.1.A2	1
WP_125939456.1.A1	1
WP_125939457.1.A1	1
AZM57022.1.A2	1
AZM58102.1.A1	1
DMA15_34345.A1	1
AAT09804.1.A3	2
EWS95124.1.A2	3
OLZ52457.1.A1	3
AQZ69228.1.A1	3
WP_125938384.1.A1	3
CAB38518.1.A6|Q9Z4X6.A6	4
ALV82356.1.A6	4
DAB41477.1.A1	5
AZM57022.1.A1	6
RSO11554.1.A1	6
DMH02_027320.A1	6
MCC5036784.1.A1	6
MCC5036785.1.A1	6
ABD65958.1.A2	7
RSO11556.1.A1	7
ABD65957.1.A1	8
ABD65957.1.A4	8
ABD65957.1.A5	8
ABD65958.1.A4	8
ABD65958.1.A8	8
ALK27916.1.A1	8
BS330_28385.A1	8
AQZ69229.1.A1	8
AYA22336.1.A1	8
RSO11554.1.A2	8
CAD91212.1.A2|Q7WZ74.A2	9
CAE53352.1.A2|CAG15011.1.A2|Q70AZ7.A2	9
ALK27915.1.A1	9
QYC40289.1.A2	9
ALK27915.1.A3	9
CAC48361.1.A2|Q939Z0.A2	9
AIE77059.1.A2	9
AIG79241.1.A2	9
AEI58866.1.A2	9
AGS77309.1.A2	9
OKA09424.1.A2	9
EME52989.1.A2	9
OLZ52457.1.A2	9
AHF20584.1.A2	9
CAA11795.1.A2|O52820.A2	9
OLZ50885.1.A2	9
AYA22334.1.A2	9
AIE77057.1.A1	9
AIG79243.1.A1	9
BS329_14150.A1	9
AHF20582.1.A1	9
CAD91220.1.A1|Q7WZ66.A1	10
AAM80537.1.A2|Q8KLL5.A2	10
AAM80539.1.A1|Q8KLL3.A1	10
AAK81827.1.A1|Q93N86.A1	10
CAE53350.1.A1|CAG15009.1.A1|Q70AZ9.A1	10
AGS77307.1.A1	10
QYC40287.1.A1	10
RSO11553.1.A1	10
MCC5036785.1.A2	10
MCC5036786.1.A1	10
WP_126902740.1.A1	10
RSO11555.1.A1	11
CAD91212.1.A1|Q7WZ74.A1	12
AAM80537.1.A1|Q8KLL5.A1	12
CAC48361.1.A1|Q939Z0.A1	12
AAK81825.1.A1|Q93N88.A1	12
AAK81826.1.A1|Q93N87.A1	12
AAK81826.1.A2|Q93N87.A2	12
AIE77059.1.A1	12
AIG79241.1.A1	12
CAE53352.1.A1|CAG15011.1.A1|Q70AZ7.A1	12
AEI58866.1.A1	12
AGS77309.1.A1	12
OKA09424.1.A1	12
EME52989.1.A1	12
AYA22334.1.A1|OLZ50885.1.A1	12
AZM57024.1.A1	12
QYC40289.1.A1	12
WP_126900393.1.A1	12
WP_126900392.1.A1	12
WP_126902739.1.A1	12
WP_126902739.1.A2	12
AHF20584.1.A1	12
CAA11795.1.A1|O52820.A1	12
AZM57023.1.A1	13
ABP55169.1.A1	14
AQZ69228.1.A2	14
AAT09805.1.A2	15
AAT09804.1.A1	16
AAM80536.1.A1|Q8KLL6.A1	17
CAD91211.1.A1|Q7WZ75.A1	17
CAC48362.1.A1|Q939Y9.A1	17
AIE77060.1.A1	17
AIG79240.1.A1	17
CAE53353.1.A1|CAG15012.1.A1|Q70AZ6.A1	17
AEI58867.1.A1	17
AGS77310.1.A1	17
OKA09425.1.A1	17
EME52988.1.A1	17
AYA22333.1.A1|OLZ50886.1.A1	17
OLZ52456.1.A1	17
QYC40290.1.A1	17
CAA11796.1.A1|O52821.A1	17
AHF20585.1.A1	17
AIE77058.1.A1	17
AIG79242.1.A1	17
AHF20583.1.A1	17
AQZ69227.1.A1	17
AAM80538.1.A1|Q8KLL4.A1	17
CAE53351.1.A1|Q70AZ8.A1	17
CAG15010.1.A1	17
CAD91221.1.A1|Q7WZ65.A1	17
QYC40288.1.A1	17
AGS77308.1.A1	17
ATL73036.1.A3	18
