domain	clade
AAF00962.1.A1|Q9RNA9.A1	0
KFH48607.1.A3|P25464.A3	1
AAA63415.1.A3|ABA70582.1.A3|ABR12615.1.A3|P19787.A3|P26046.A3	1
AAA03914.1.A3|P27742.A3	1
AAK1902.1.A3|AAK21902.1.A3|Q9C1G0.A3	1
EDY47118.1.A3	1
BAA08846.1.A3|P94873.A3	1
CAA40561.1.A3|P27743.A3	1
CBW75453.1.A3	2
ABQ96384.2.A3	3
A9LJA2.A3	3
CBF76038.1.A1	4
CAE15637.1.A3|WP_011147463.1.A3	5
PHM49485.1.A4	6
UEF20578.1.A1	7
UEF20580.1.A2	7
QKF54436.1.A1	7
QKF54438.1.A2	7
APZ78833.1.A2	8
CDG17980.1.A4	9
OTA20325.1.A1	10
CUX79061.1.A2	11
CAE15637.1.A2|WP_011147463.1.A2	12
CAE15637.1.A4|WP_011147463.1.A4	12
CAE15637.1.A5|WP_011147463.1.A5	12
CBJ90082.1.A2	12
AFP87549.1.A2	12
WP_011146892.1.A1	12
WP_011146892.1.A3	12
WP_011146892.1.A6	12
WP_011146892.1.A10	12
WP_011146892.1.A13	12
AAO23334.1.A4	13
XP_003044554.1.A4	14
CBF87869.1.A2	15
ABF87031.1.A6|YP_631961.1.A5	16
AIT38302.1.A1	17
ABF87031.1.A3|YP_631961.1.A2	18
QOG08944.1.A1	19
AGZ15460.1.A1	20
Ga0173608_11675.A7	21
Ga0173608_11675.A9	21
Ga0173608_112187.A6	21
Ga0173608_111989.A6	21
OTA20325.1.A3	22
Ga0173608_11674.A13	23
Ga0173608_11675.A10	23
Ga0173608_11676.A1	23
Ga0173608_11676.A3	23
Ga0173608_11676.A4	23
Ga0173608_111792.A4	23
Ga0173608_111989.A7	23
Ga0173608_112008.A4	23
AKC91849.1.A1	24
AKC91856.1.A1	24
AHB38497.1.A2	25
AKA59447.1.A2	26
CCC55922.1.A1	27
QCY50741.1.A1|ctg1_42.A1	28
EFE73312.1.A5	29
CAC48360.1.A1|Q939Z1.A1	30
EME52990.1.A1	30
CAA11794.1.A1|O52819.A1	30
AEI58865.1.A1	30
OKA09423.1.A1	30
AHB38497.1.A4	31
ANI24100.1.A1	32
ABW00331.1.A2	33
EHA53213.1.A1	34
WP_008704344.1.A1	35
FGSG_15673.A2	36
AAM78457.1.A11	37
AGC65514.1.A3	38
AEC14349.1.A1	39
OAL11475.1.A1	39
AHZ34233.1.A3	40
AAO56329.1.A3	40
ABW17377.1.A2	40
CCM44337.1.A2	40
ABA59547.1.A2|Q1PSF4.A2	40
ARO38317.1.A3	40
RLV71193.1.A2	40
BAV57451.1.A1	40
AXM43052.1.A1	40
QRN75755.1.A1	40
AGC65514.1.A1	40
CAK15814.1.A1	40
CAK15815.1.A2	40
CAK15815.1.A5	40
AGM14933.1.A2	40
AGM14933.1.A6	40
CAD17793.1.A1	40
AFJ23825.1.A2	40
QKM21619.1.A1	40
QKM21620.1.A2	40
BCJ07533.1.A2	40
BCJ07532.1.A4	40
NHN68324.1.A1	40
NHN68325.1.A2	40
ABW17376.1.A5	40
AFH75320.1.A5	40
AFH75321.1.A2	40
AFH75321.1.A3	40
AFH75321.1.A6	40
AAF99707.2.A3|Q9FDB3.A3	40
AAF99707.2.A4|Q9FDB3.A4	40
AAO72424.1.A2|Q83VS1.A2	40
AAO72424.1.A3|Q83VS1.A3	40
AAO72425.1.A1|Q83VS0.A1	40
CCJ67637.1.A2	40
CCJ67638.1.A2	40
CCJ67638.1.A3	40
CCJ67639.1.A3	40
AGC65516.1.A1	40
CAY48788.1.A2	40
AHZ34239.1.A3	40
AHZ34241.1.A1	40
AHZ34242.1.A1	40
AHZ34242.1.A3	40
KPN90376.1.A1	40
KPN90376.1.A3	40
KPN93063.1.A6	40
KPN93064.1.A1	40
APU91750.1.A5	40
APU91750.1.A8	40
APU91750.1.A9	40
APU91750.1.A12	40
AXN93601.1.A1	40
AXN93613.1.A1	40
AFZ61525.1.A2	40
AFH75329.1.A2	40
AFH75330.1.A4	40
AAY91421.3.A4	40
AAU39360.1.A1	41
AFJ14794.1.A6	41
CAE02631.1.A1	41
BAH43766.1.A4	41
CBJ90082.1.A1	41
CBJ90082.1.A3	41
CBJ90082.1.A4	41
WP_011146892.1.A7	41
WP_011146892.1.A9	41
WP_011146892.1.A11	41
WP_011146892.1.A14	41
WP_011146892.1.A15	41
WP_013428324.1.A7	41
WP_013428774.1.A1	41
CBW75452.1.A1|QIH29228.1.A4	41
CBW75453.1.A1|QIH29228.1.A1	41
QIH29228.1.A3	41
Q45675.A1|WP_069322367.1.A1	41
BAA06146.1.A2|CAA43838.1.A2|P0C063.A2|Q44928.A2	41
CAA06324.1.A1|O69246.A1	41
O30409.A4	41
O66070.A1	41
Q04747.A1	41
WP_047197779.1.A5	42
ADL64235.1.A1	43
ABD14712.1.A2	43
AGM16412.1.A2	43
AGM16413.1.A1	43
AGM16414.1.A1	43
AHF21228.1.A1	43
AHF21229.1.A1	43
ABP57748.1.A1	43
ACG60778.1.A1	43
AIW82282.1.A1	43
ORC16618.1.A2	43
ADH04679.1.A2	43
ARU08075.1.A1	43
ANZ15840.1.A2	43
ATU31794.1.A2	43
AWI62629.1.A1	43
AXN93580.1.A1|AXN93589.1.A1	43
QCP68971.1.A1	43
QVQ62856.1.A1	43
WP_234859471.1.A3	43
WP_234859472.1.A1	43
WP_234859472.1.A5	43
CAD92850.1.A4	43
CAD92851.1.A1	43
CAD92851.1.A2	43
CDG17980.1.A3	43
CDG17980.1.A7	43
CDG17981.1.A2	43
CDG17982.1.A4	43
ALK27914.1.A3	43
ALK27915.1.A5	43
ACY06285.1.A1	43
ABA59548.1.A2	43
ORC16617.1.A2	43
RLV71192.1.A2	43
NSC20094.1.A1	43
QOE83925.1.A1	44
WP_043882190.1.A2	45
CAB13715.1.A2|P39847.A2	46
ATL73036.1.A4	47
AAT12283.1.A1	48
WP_018540607.1.A2	49
CCB53267.1.A1	50
ADG27359.1.A3	51
BAE98156.1.A2	52
CAM56771.1.A1	53
AET98905.1.A2	54
BAH04161.1.A2	55
AEP18655.1.A5	56
ARU08073.1.A2	57
WP_107406787.1.A1	58
AIW58892.1.A1	59
AIW58892.1.A2	60
AIW58892.1.A6	61
AIW58892.1.A8	62
AIW58892.1.A9	63
AIW58892.1.A11	64
AIW58892.1.A13	65
BAX89998.1.A1	66
WP_015507662.1.A3	67
WP_015507662.1.A5	68
WP_015507663.1.A3	69
QBG38783.1.A3	70
QEO74982.1.A6	71
QEO75076.1.A1	72
QDJ74274.1.A1	73
QDJ74275.1.A3	74
QGA70148.1.A1	75
QGA70148.1.A5	76
QGA70148.1.A7	77
QGA70148.1.A8	78
QGA70148.1.A10	79
QGA70148.1.A12	80
QRG35014.1.A2	81
