domain	clade
EAU29302.1.A1	0
AFI_55290.A1	0
ADY16697.1.A1	0
EAL89049.1.A1	0
QMS79067.1.A1	0
Q56950.A1	1
P71716.A1	2
YP_856992.1.A1	3
Q8CV01.A1	4
BAC12912.1.A1	5
EFL06871.1.A1	5
CCA53797.1.A1	5
CAA33158.1.A1	5
AAO69874.1.A1	5
ctg1_116.A1	5
Q9EZ79.A1	5
BAH33406.1.A1	6
AAZ55904.1.A1	7
AAC44632.1.A1|CAB15188.1.A1	8
CAJ45636.1.A1	8
AAO07759.1.A1	8
ABS75234.1.A1	8
AAG31128.1.A1	8
ABU70375.1.A1	8
AAG00564.1.A1	8
CBA63660.1.A1	9
ACU36660.1.A1	9
CAP20363.1.A1	9
AGE11892.1.A1	10
AAA93464.1.A1	11
P10378.A1	12
Q83M10.A1	12
Q8FK18.A1	12
Q8XBV3.A1	12
Q8Z8L1.A1	12
Q8ZR32.A1	12
AAD55799.1.A1	12
AAO07763.1.A1	12
Q9RFM9.A1	12
Q8FXQ0.A1	13
Q9FDB2.A1	13
Q81QP9.A1	13
P40871.A1	13
Q8GA86.A1	13
AQZ26587.1.A2	14
CAG69514.1.A1	15
Q840D1.A1	16
WP_010639243.1.A1	17
antaF.A1	17
AWX24488.1.A1	17
BBD17745.1.A1	17
BBD17766.1.A1	17
CDG76957.1.A1	18
THA23581.1.A1	19
