domain	clade
EXU96269.1.A1	0
CFJ82030.1.A1|O86329.A1|Q7D791.A1	1
Ga0173608_112008.A9	2
AHD05617.1.A1	3
AGE11898.1.A2	4
ARU08074.1.A1	5
NSC23530.1.A1	6
QNH67550.1.A5	7
AAZ23077.1.A1	8
CAE14173.1.A1|WP_232507913.1.A1	9
WP_041826607.1.A5	10
AGM16413.1.A2	10
AGM16414.1.A2	10
AAC06347.1.A1|O68007.A1	11
AAX16296.1.A1	12
AAY93354.1.A3	13
AAY93356.2.A3	13
WP_047195042.1.A1	14
CCP42826.1.A1	15
YP_856990.1.A1	15
ACC81021.1.A2	15
ACZ55942.1.A2	15
ABV79985.1.A2	15
ACZ55945.1.A2	15
AAG31130.1.A1	15
QRK05501.1.A1	15
AFH75322.1.A6	16
CCJ67640.1.A6	16
APU91751.1.A6	16
SOV25622.1.A3|WP_013184461.1.A3	16
WP_013184461.1.A1	16
SOV25622.1.A1	16
SOV25619.1.A1|WP_013184464.1.A1	16
PHM49485.1.A6	17
AJY78094.1.A1	18
QIE07359.1.A1	19
ATY37590.1.A4	20
ATY37591.1.A3	20
AAY29580.1.A4	20
EFE73313.1.A2	21
WP_078857611.1.A1	21
