domain	clade
ATY37589.1.A2	0
AAC06347.1.A2|O68007.A2	1
BAH43766.1.A5	2
O30409.A5	2
BAA06146.1.A3|Q44928.A3	2
P0C063.A3	2
CAA43838.1.A3	2
AGM16412.1.A1	3
AGM16412.1.A4	3
ATY37608.1.A7	4
ATY37608.1.A4	4
ATY37608.1.A5	4
ABS74209.1.A2|CAE11277.1.A2	5
CAA84360.1.A2|P39845.A2	5
AAC36721.1.A2|O87606.A2	5
A8BB73.A1	6
EFL02193.1.A1	6
APD26279.1.A1	6
Ga0173608_11676.A6	7
CP001614.2.A1	8
EPE34341.1.A1	9
AMM63162.1.A1	9
AFT91378.1.A1	9
BAN91483.1.A1	9
CBL93718.1.A1	10
ABD65957.1.A2	11
ANZ15839.1.A1	12
ATU31795.1.A1	12
AAX31558.1.A1	13
AHH53507.1.A1	13
CBG75492.1.A4	14
ctg1_orf1264.A2	15
AEP18655.1.A4	16
AEP18656.1.A7	17
AED90002.1.A2	18
WP_013184463.1.A2	19
SOV25620.1.A2	19
