domain	clade
AGC65517.1.A1	0
AGC65515.1.A2	0
ATO51563.1.A1	1
CAP93139.1.A1	2
ATY37591.1.A4	3
EKJ70673.1.A5	4
BAO73252.1.A5	4
ABM21571.1.A1	5
B9ZUK5.A1|CAQ43084.1.A1	6
WP_003981346.1.A1	7
CAI94718.1.A2	7
QDA77059.1.A3	7
ATY37608.1.A2	7
CAD91212.1.A3|Q7WZ74.A3	8
CAD91220.1.A2|Q7WZ66.A2	8
AAM80539.1.A2|Q8KLL3.A2	8
EWS95124.1.A4	8
AAK81826.1.A3|Q93N87.A3	8
AID65225.1.A1	8
AAU34203.1.A1	8
AAO23333.1.A1	8
CAE53350.1.A2|CAG15009.1.A2|Q70AZ9.A2	8
AGS77307.1.A2	8
AQZ69228.1.A3	8
WP_003981346.1.A2	8
QBC75021.1.A4	8
QBG38782.1.A3	8
QNH67550.1.A4	8
QNH67551.1.A3	8
QUS58939.1.A1	8
QYC40287.1.A2	8
QYC40289.1.A3	8
MCC5036785.1.A3	8
WP_125938384.1.A3	8
WP_126902739.1.A3	8
AAM80537.1.A3|Q8KLL5.A3	9
AAZ03552.1.A4	10
CAE53352.1.A3|CAG15011.1.A3|Q70AZ7.A3	10
BAH22764.1.A4	10
AGS77309.1.A3	10
WP_011146892.1.A5	10
ACZ55942.1.A1	11
AHZ20773.1.A2	11
AAF17281.1.A1|Q9RAH1.A1	11
CAD17792.1.A3	11
CZT62785.1.A2	11
WP_013428324.1.A3	11
QDA77045.1.A2	11
QDA77045.1.A5	11
QDA77059.1.A6	11
CBW75451.1.A2|QIH29229.1.A2	11
CBW75451.1.A3|QIH29229.1.A3	11
WP_012408786.1.A1	11
QWP75305.1.A6	11
AZM57024.1.A2	11
AZM57024.1.A3	11
UEF20591.1.A1	11
UEF20592.1.A1	11
QKF54435.2.A1	11
QKF54435.2.A2	11
CAC01604.1.A4	11
A6P624.A1	11
WP_054234617.1.A2	11
AFK57221.1.A1	11
CCJ67646.1.A2	11
QED55423.1.A3	11
ALG65319.1.A2	11
QBA57735.1.A2	11
RSO11554.1.A3	11
WP_054234617.1.A1	11
CAJ46692.1.A2	12
CAC48369.1.A1|Q939Y2.A1	12
AIE77076.1.A1	12
AIG79224.1.A1	12
AEI58879.1.A1	12
OKA09664.1.A1	12
EME52974.1.A1	12
OLZ50899.1.A1	12
OLZ52442.1.A1	12
AYA22318.1.A1	12
WP_043882190.1.A4	12
AJV88375.1.A3	13
AHI59110.1.A1	14
C0LTL8.A1	15
ADL64235.1.A2	16
ABS74180.1.A1|CAE11249.1.A1	17
BAB69699.1.A1|Q93I55.A1	17
AAF08796.1.A1|Q9R9J0.A1	17
AAN07013.1.A1	17
AHD05678.1.A1	18
XP_002379984.1.A2	19
QXF14600.1.A1	20
AAY93445.1.A3	21
AHZ20784.1.A2	22
AAV66110.2.A1	23
ABF87031.1.A8|YP_631961.1.A7	24
ABS74206.1.A3	25
CAA84361.1.A1|P39846.A1	25
CAA84363.1.A3|P94459.A3	25
AAB80955.2.A3|O30980.A3	25
ABS74208.1.A1	25
CAA09819.1.A1|O87704.A1	25
QKF54440.2.A1|UEF20583.1.A1	26
Ga0173608_111792.A6	27
Ga0173608_112187.A3	27
Ga0173608_112187.A5	27
Ga0173608_111498.A1	27
Ga0173608_111989.A3	27
BAH43766.1.A3	28
O30409.A3	28
AAO72425.1.A12|Q83VS0.A4	29
QVQ62857.1.A1	30
AGC65513.1.A1	31
gene3.A1|iliA.A1	32
KKP04599.1.A1	33
QBQ83704.1.A1	34
CAL69597.1.A1	35
EPS34234.1.A1	35
EAA67034.1.A1	35
