domain	clade
APZ78729.1.A1	0
APZ78729.1.A2	0
APZ78744.1.A1	0
AQM37584.1.A1	0
APZ78809.1.A1	0
APZ78756.1.A1	0
APZ78795.1.A1	0
APZ78769.1.A1	0
APZ78782.1.A1	0
APZ78680.1.A1	1
APZ78704.1.A1	1
APZ78692.1.A1	1
APZ78716.1.A1	1
APZ78856.1.A1	1
AAF00961.1.A1|Q9RNB0.A1	2
BAA83993.1.A1|Q9S1A8.A1	2
CAJ21198.2.A1|Q0W980.A1	2
AAF17280.1.A1|Q9RAH2.A1	2
WP_012408785.1.A1	2
AAF15891.2.A4|Q9RAH4.A4	2
WP_012408783.1.A4	2
CAD92851.1.A4	2
CAD92850.1.A2	2
CAD92852.1.A2	2
CAD92851.1.A6	2
AWI62626.1.A3	2
ABV56582.1.A1	3
WP_008704344.1.A2	4
WP_008704344.1.A3	4
AAN32978.1.A1|Q8GAQ6.A1	5
QCY50741.1.A1|ctg1_42.A1	6
AAC06346.1.A3|O68006.A3	7
ATY37592.1.A1	7
AAU39360.1.A3	7
CAA06324.1.A3|O66070.A3|O69246.A3	7
O66069.A3	7
AAU22002.1.A3|AAU39359.1.A3	7
CAA06323.1.A3|Q45295.A3	7
BAA02522.1.A3|P27206.A3	7
Q45675.A3|WP_069322367.1.A3	7
Q04747.A3	7
CAE02630.1.A3	7
CAE02631.1.A3	7
AFJ14794.1.A4	8
CUX79061.1.A2	8
AFJ14794.1.A7	9
CUX79062.1.A1	10
ACA97576.1.A1	11
AJM89735.1.A1	11
ATO51563.1.A3	12
WP_008704344.1.A1	13
BAA06146.1.A4|CAA43838.1.A4|P0C063.A4|Q44928.A4	14
BAH43766.1.A6	14
O30409.A6	14
ATY37589.1.A1	15
ATY37591.1.A2	16
AEZ51516.1.A2	17
AJM89735.1.A2	17
CAA49818.1.A1|Q08787.A1	18
AAU22002.1.A2|AAU39359.1.A2	19
CAA06323.1.A2|O66069.A2|Q45295.A2	19
CAE02630.1.A2	19
BAA02522.1.A2|P27206.A2	19
QRN75755.1.A2	20
AEC14346.1.A2	21
Ga0173608_111990.A5	22
Ga0173608_111498.A4	22
Ga0173608_111990.A3	22
Ga0173608_112008.A7	22
Ga0173608_111474.A3	22
Ga0173608_111474.A5	22
WP_234859471.1.A1	23
WP_234859472.1.A4	23
QOG08944.1.A1	24
AGZ15455.1.A1	25
WP_016638466.1.A1	25
CCB53266.1.A1	26
XP_003044554.1.A5	27
ACJ04424.1.A8|B6SF67.A8	28
ACR78148.1.A2|D1FVF0.A2	29
CAA82227.1.A2|Q09164.A4|ctg1_orf003.A2	30
ATQ39428.1.A2	30
CAA82227.1.A8|Q09164.A10|ctg1_orf003.A8	30
ATQ39428.1.A8	30
CAA82227.1.A10|Q09164.A2|ctg1_orf003.A10	30
ATQ39428.1.A10	30
CAA82227.1.A3|Q09164.A5|ctg1_orf003.A3	30
ATQ39428.1.A3	30
ATD05719.1.A2|WP_010369430.1.A2	31
AAM78457.1.A11	32
AAM78457.1.A14	33
OAQ83772.1.A6	34
FGSG_15673.A2	35
OAQ83772.1.A5	36
AN2545.A3|CBF87069.1.A3	37
EGX96627.1.A3	38
CBF76038.1.A1	39
XP_003044554.1.A2	40
ESU17760.1.A8	41
AMT84997.1.A3	42
ESU17760.1.A7	43
OTA20325.1.A3	44
CBJ79915.1.A1	45
CBJ79916.1.A3	45
CBJ79915.1.A2	45
CBJ79916.1.A4	45
OTA20325.1.A1	46
OTA20325.1.A2	46
AFK57219.1.A1	47
AFK57215.1.A1	48
AHB38511.1.A1	49
AHB38497.1.A4	50
AKA59436.1.A2	51
AHB38515.1.A2	51
CUX96954.1.A2	51
QWM97319.1.A6	52
AEP18656.1.A6	52
BAV56270.1.A6	52
QRG35014.1.A1	53
AEA30274.1.A2	53
AEA30274.1.A3	53
QNH67550.1.A3	54
QNH67551.1.A1	54
AJV88377.1.A1	55
QDJ74275.1.A4	55
QVQ62868.1.A2	56
QVQ62868.1.A4	56
AJW76710.1.A1	56
AJW76711.1.A2	56
ANZ15840.1.A3	56
ATU31794.1.A3	56
AGN74876.1.A2	57
WP_067426775.1.A2	57
BAX89999.1.A2	57
CBZ42146.1.A2	58
WP_015507661.1.A3	59
WP_015507662.1.A2	59
WP_015507663.1.A2	59
QGA70148.1.A6	60
AIW58892.1.A7	61
ASX95241.1.A6	62
ASX95241.1.A5	62
ASX95241.1.A2	62
BBA20967.1.A6	62
BBA20967.1.A2	62
BBA20967.1.A5	62
ABW00331.1.A2	63
ABW00331.1.A6	63
BAX64244.1.A2	64
QBG38782.1.A2	65
AKC91849.1.A6	66
AKC91849.1.A4	66
AKC91856.1.A3	66
UEF20578.1.A1	67
UEF20580.1.A2	67
QKF54438.1.A2	67
QKF54436.1.A1	67
CCC55922.1.A1	68
AHZ34243.1.A6	69
CAK15814.1.A4	70
ABW17377.1.A2	71
ABF87031.1.A3|YP_631961.1.A2	72
ALG65318.1.A1	73
QBA57736.1.A1	73
QED55423.1.A5	74
CAA11794.1.A1|O52819.A1	75
OKA09423.1.A1	75
AEI58865.1.A1	75
EME52990.1.A1	75
