domain	clade
BAA83994.1.A1|Q9S1A7.A1	0
AAL82383.1.A1|Q8RTG4.A1	0
Q93LR1.A1	0
SOV25622.1.A2|WP_013184461.1.A2	1
AAY37647.1.A5	2
QUS58938.1.A1	2
AF047828.1.A5|O85168.A5	2
AHJ31215.1.A3	3
ATP76246.1.A3	3
OAL11435.1.A1	4
CAE15497.1.A1	4
BAW32334.1.A1	4
AEH59100.1.A2	4
AXA91302.1.A4	4
QOE83923.1.A1	4
AAT09804.1.A2	4
BAW32324.1.A1	4
AAS47562.1.A1	5
AAX16297.1.A2	5
EOY45602.1.A1	5
BAH22764.1.A1	5
ABX37382.1.A4	6
QDG75033.1.A1	7
BAH33409.1.A1	8
ACU36654.1.A1	9
BAV56270.1.A7	10
QWM97319.1.A7	10
QWM97319.1.A2	11
BAV56270.1.A2	12
ABB80392.1.A3	13
AHD05614.1.A1	14
AFP87549.1.A1	15
AFP87549.1.A4	15
AFP87549.1.A3	15
AFP87549.1.A5	15
CAE15497.1.A3	15
QWP75305.1.A3	15
ABV79985.1.A1	16
ACZ55945.1.A1	17
WP_234859471.1.A4	18
BAE06845.2.A2	19
AZC86156.1.A2	19
Ga0173608_112053.A3	20
Ga0173608_112187.A4	20
ATO51563.1.A5	21
ctg1_orf20.A2	21
CAD29798.1.A1|Q8G982.A1	22
QCQ67881.1.A1	22
AQH32486.1.A1	23
CBA63680.1.A1|D2TVG0.A1	24
AAZ55900.1.A1	25
CAJ45639.1.A1	26
CAD29799.1.A1	27
ATP76244.1.A1	28
AAO62588.1.A1	29
CBJ79718.1.A1	30
