domain	clade
AAZ23075.1.A2|Q45R85.A2	0
QBC75021.1.A3	1
QBC75022.1.A5	1
QBC75023.1.A1	1
QEO74981.1.A4	2
QEO75074.1.A1	2
AAZ23078.1.A1	3
AHH53508.1.A1	3
AXM43064.1.A1	4
CAD55498.1.A1	5
ALV82388.1.A1	5
AAC06346.1.A4|O68006.A4	6
WP_043882190.1.A5	6
WP_047197778.1.A2	7
P27206.A1	8
CAE02630.1.A1	8
AHF21228.1.A10	8
ABS74180.1.A4|CAE11249.1.A4	8
WP_129549303.1.A10	8
BAA02522.1.A1	8
AAN07013.1.A4	8
QCC62999.1.A2	9
WP_013428774.1.A3	10
AAY93445.1.A2	11
AAG05812.1.A1|Q9I157.A1	11
Q9L6D0.A1	11
ABS74207.1.A1	12
ABS74209.1.A1|CAE11277.1.A1	12
CAB13715.1.A1|P39847.A1	12
AAB80956.1.A1|O30981.A1	12
CAA84360.1.A1|P39845.A1	12
AAC36721.1.A1|O87606.A1	12
QWM97320.1.A1	13
AEP18655.1.A1	14
BAV56271.1.A1	14
Q9RNB3.A1	15
AOZ21316.1.A1	16
AFH75328.1.A2	17
AAY91419.3.A2	17
ABW17375.1.A2	17
QNL34618.1.A5	17
BCJ07599.1.A1	17
AGM14925.1.A2	17
AFJ23819.1.A2	17
AFZ61501.1.A2	18
AGE26255.1.A2	18
ANQ43347.1.A2	18
ABV56594.1.A1	19
