domain	clade
CAJ18237.2.A1	0
AHH53506.1.A2	1
WP_107406787.1.A2	2
BAX89998.1.A2	2
CAJ96472.1.A1	3
ABD65956.1.A1|Q06YZ3.A1	4
AAY93356.2.A1	5
ABX37383.1.A1	6
CAQ71827.1.A1	7
CAQ71828.1.A2	8
WP_006051170.1.A1	9
BAH22762.1.A1	10
NAO96317.1.A1	10
NAO96320.1.A1	10
AAO55665.1.A1	10
AAC06348.1.A4|O68008.A4	10
AAU39360.1.A2	10
CAE02631.1.A2	10
ALK27916.1.A3	10
Q45675.A2|WP_069322367.1.A2	10
CAA06324.1.A2|O69246.A2	10
O66070.A2	10
Q04747.A2	10
CAJ96471.1.A1	10
AHI59109.1.A2	10
AAO55667.1.A1|Q884E3.A1	11
Ga0173608_112008.A1	12
AEA30272.1.A3	13
AAX31557.1.A3|Q50E74.A3	14
AAX31558.1.A2	14
AAX31558.1.A4	14
UEF20578.1.A2	14
QKF54436.1.A2	14
AAZ23077.1.A2	15
CAB38517.1.A1|Q9Z4X5.A1	15
CAB38518.1.A4|Q9Z4X6.A4	15
CAB38518.1.A5|Q9Z4X6.A5	15
AEG64696.1.A1	15
AEG64697.1.A2	15
AEG64697.1.A4	15
ALV82356.1.A4	15
ALV82356.1.A5	15
ALV82384.1.A1	15
AAZ23076.1.A2	16
CAM56770.1.A2	16
CAM56770.1.A4	16
AHH53506.1.A3	16
AHH53507.1.A2	16
AHH53507.1.A4	16
ARU08074.1.A3	16
QBC75022.1.A1	16
QBC75022.1.A2	16
QED55422.1.A1	16
QED55423.1.A2	16
ADB02855.1.A1	17
A05163.A1	18
AAY37647.1.A8	19
KPN90369.1.A3	19
AF047828.1.A8|O85168.A8	19
AXA91301.1.A2	19
AXA91302.1.A5	19
CCM44336.1.A1	20
BBC83957.1.A5	21
BAC67534.2.A2|Q84BQ6.A2	22
BAC67536.1.A5|Q84BQ4.A5	22
AOA33121.1.A2	22
WP_064118559.1.A5	22
WP_064118561.1.A2	22
ABA73954.1.A2	22
QDF82254.1.A2	22
QDF82259.1.A5	22
QNL34616.1.A2	22
