domain	clade
AEP18655.1.A3	0
WP_234859472.1.A2	0
BAV56271.1.A3	0
QWM97320.1.A3	0
ATY37608.1.A3	1
ATY37608.1.A8	1
AGZ03651.1.A2	2
DAD54576.1.A1	3
CAP96445.1.A1	4
XP_002379984.1.A1	5
BBB04327.1.A1	6
XP_020057667.1.A1	6
EAL89049.1.A2	7
ADY16697.1.A2	7
EAU29302.1.A2	8
AFI_55290.A2	8
AGC83576.1.A2	9
ADM34138.1.A2	9
A8KNE2.A1|CAO91861.1.A1	10
AFA26384.1.A1|BAI43678.1.A1	11
B6F209.A1	11
AGA37267.1.A2	12
AGA37269.1.A2	12
ctg16_307.A2	12
EAQ93004.1.A1|XP_001220460.1.A1	13
Ga0173608_112053.A1	14
Ga0173608_111990.A6	14
Ga0173608_111989.A4	14
EAU39346.1.A1	15
AJW76711.1.A1	16
MCC5036783.1.A1	16
AZM57022.1.A3	16
WP_125938383.1.A1	16
RSO11556.1.A2	16
AQZ71347.1.A1	16
AAK81824.1.A2|Q93N89.A2	16
WP_126900393.1.A2	16
WP_015507663.1.A1	16
BAW32323.1.A2	17
AHB82071.1.A2	17
AHB82058.1.A2	17
BAW32333.1.A2	17
AEA30273.1.A4	18
QBG38784.1.A3	18
CBZ42146.1.A3	19
AAX31557.1.A1|Q50E74.A1	20
AHH53506.1.A1	20
CAD92851.1.A3	21
CAD92852.1.A1	21
CAD92852.1.A3	21
CAE15497.1.A5	22
CAD92851.1.A5	23
EAL92291.2.A1	24
OJJ96433.1.A1	25
chaP_not_in_genbank.A2	26
AAZ23075.1.A1|Q45R85.A1	27
QXJ21808.1.A3	28
BAE98162.1.A1	29
AET98916.1.A1	29
BAH04173.1.A1	29
BAI63283.1.A1	29
AAT12283.1.A2	30
AFO85453.1.A2	30
CAJ46692.1.A1	31
AHF21228.1.A5	32
WP_043882190.1.A1	32
WP_129549303.1.A5	32
ATO51563.1.A4	33
CAB38518.1.A3|Q9Z4X6.A3	34
ALV82356.1.A3	34
CAD55498.1.A2|Q8CJX2.A2	34
ALV82388.1.A2	34
A8M6W3.A1|ABW00331.1.A1	35
CCB53264.1.A2	36
