domain	clade
THA23575.1.A1	0
AHB38515.1.A1	1
CUX96954.1.A1	1
Ga0173608_111498.A2	1
AAU34202.1.A1|Q643C7.A1	2
ABD65958.1.A3	3
Ga0173608_111474.A7	3
Ga0173608_112008.A3	3
Ga0173608_112008.A6	3
CAQ18831.1.A1	4
BAO73252.1.A1	5
QCC62999.1.A4	6
QCC62999.1.A5	6
QCC62999.1.A6	6
chaP_not_in_genbank.A1|ctg1_orf10.A1	7
EAL88817.1.A2	7
EXU96269.1.A4	8
CRG85572.1.A4	8
astN.A4	8
BAX64246.1.A1	9
BAX64246.1.A2	9
ESU15173.1.A1	10
BN849_0052030.A1	10
CRG85572.1.A1	11
EXU96269.1.A3	12
EXU96269.1.A7	12
THA23581.1.A2	13
ATG32076.1.A1	14
CAG69516.1.A1	15
BAP16699.1.A1	16
AAK46746.1.A1|P71717.A1|Q7TYQ4.A1	16
EFL06864.1.A1	17
AGE11891.1.A1	17
AAY37647.1.A1	18
AAO72425.1.A6|AAY37647.1.A2|Q83VS0.A9	18
AED90002.1.A1	18
AGN74895.1.A1	18
ABX37382.1.A3	18
ACG60776.1.A2|B9UJ01.A1	18
CDF96614.1.A1	18
CAD17792.1.A4	18
CAD17793.1.A2	18
KPN93063.1.A9	18
KPN93065.1.A1	18
AF047828.1.A2|O85168.A2	18
AAT09805.1.A1	19
AAO23334.1.A2	19
ADJ63842.1.A3	19
ADJ63842.1.A6	19
ABA23460.1.A1	19
CAD29797.1.A1	19
AAO62586.1.A1	19
AAF15891.2.A2|Q9RAH4.A2	19
WP_030498974.1.A1	19
EWM63002.1.A1	19
AQH32484.1.A1	19
AVI26390.1.A1	19
AYA44686.1.A2|AYA44686.1.A3	19
WP_012408783.1.A2	19
QCQ67879.1.A1	19
ABV56588.1.A2	20
AEP18656.1.A1	20
AEP18656.1.A3	20
CAQ71829.1.A2	20
DAB41476.1.A1	20
CBW75451.1.A1|QIH29229.1.A1	20
NAO96318.1.A1	20
NAO96319.1.A1	20
NAO96319.1.A2	20
NAO96320.1.A3	20
QNH85840.1.A4	20
BolH.A4	20
AAX16297.1.A1	20
AAX16297.1.A3	20
AAO55667.1.A2|Q884E3.A2	20
AAX16327.1.A1	20
EWS95122.1.A1	21
AAO55666.1.A2|Q884E4.A2	21
CCA29203.1.A1	22
BAP05589.1.A1	22
BAP05597.1.A1	22
CAJ76292.1.A1	22
AAF00960.1.A1|Q9RNB1.A1	22
ABS74179.1.A1|CAE11248.1.A1	22
BAB69700.1.A2	22
AAF08797.1.A1	22
BAF50720.1.A1	22
PHM49485.1.A1	22
WP_018540603.1.A1	22
CDG12864.1.A1	22
WP_039806852.1.A1	22
WP_039806856.1.A2	22
QDA77059.1.A1	22
UHJ79953.1.A2	22
BAA83992.1.A1|Q9S1A9.A1	22
AAN07014.1.A1	22
Q93I54.A2	22
Q9R9I9.A1	22
RAT94090.1.A1	23
ALV86866.1.A2	24
CAB38518.1.A1|Q9Z4X6.A1	25
A4FE38.A2|CAM02313.1.A2	25
AGM16412.1.A5	25
AGM16413.1.A3	25
AHD05677.1.A2	25
AFJ14795.1.A1	25
AHF21228.1.A4	25
AHF21228.1.A6	25
CAJ45639.1.A2	25
BAP05591.1.A1	25
AHD05618.1.A1	25
AGC65516.1.A2	25
AAY89051.1.A1|Q2N3S9.A1	25
CCA89328.1.A1	25
WP_084702182.1.A2	25
ALV82356.1.A1	25
WP_016638469.1.A2	25
ATY37609.1.A3	25
WP_013310342.1.A1	25
BBA21073.1.A1	25
ctg1_orf1264.A1	25
ctg1_orf1264.A3	25
ctg1_orf1265.A1	25
ATO51563.1.A2	25
WP_051462298.1.A1	25
DAC76736.1.A1	25
ABU70377.1.A1	25
AAG06715.1.A1|NP_252017.1.A1	25
ctg1_114.A1	25
WP_129549303.1.A4	25
WP_129549303.1.A6	25
WP_129549209.1.A3	25
NSC20093.1.A1	25
UEF20578.1.A3	25
OKJ61999.1.A1	25
QKF54436.1.A3	25
WP_014143997.1.A1	25
AGC65514.1.A2	25
AAA92015.1.A1|P11454.A1	25
CP001614.2.A2	25
AAN42148.1.A1|P29698.A1	25
Q8FK25.A1	25
Q8XBV9.A1	25
Q8Z8L5.A1|Q8ZR37.A1	25
Q4U445.A1	25
ABR67744.1.A1	25
AAP92491.1.A1	25
AF047828.1.A1|O85168.A1	26
CAK15814.1.A3	27
CAK15815.1.A8	27
AGE11899.1.A1	27
ABW17376.1.A4	27
ABW17376.1.A7	27
ABW17377.1.A3	27
CBG75492.1.A2	27
AGM14933.1.A5	27
WP_084702182.1.A5	27
ALG65317.1.A1	27
WP_053065269.1.A2	27
WP_019032755.1.A2	27
WP_082191961.1.A2	27
AFJ23825.1.A4	27
AFJ23826.1.A2	27
QPI18727.1.A2	27
QBA57737.1.A2	27
BCJ07532.1.A3	27
EFL06865.1.A1	28
EFL06865.1.A2	29
EFL06867.1.A1	30
AAX31558.1.A6	31
AAZ55899.1.A1	32
AET98906.1.A1	33
B7X8D7.A1|BAH04162.1.A1	34
WP_084702182.1.A4	35
WP_047197778.1.A1	36
WP_047197779.1.A1	37
AVI26393.1.A2	38
QED88054.1.A2	39
QBG38784.1.A2	40
WP_054234643.1.A2	41
QEO74981.1.A3	42
QEO74982.1.A2	43
QEO75073.1.A3	44
QEO75075.1.A2	45
QNH67551.1.A2	46
QRG35013.1.A2	47
ANQ43348.1.A4	48
AYJ71720.1.A1	49
BAE98155.1.A1	49
ABF87031.1.A2|YP_631961.1.A1	49
ABF87031.1.A5|YP_631961.1.A4	49
ABF87031.1.A7|YP_631961.1.A6	49
EFE73312.1.A3	49
EFE73313.1.A1	49
BAI63288.1.A1	49
AAG02359.1.A2|Q9FB23.A1	49
ABL74940.1.A2	49
AJF34463.1.A3	49
AJF34464.1.A1	49
BAV56270.1.A3	49
KFL51883.1.A1	49
KFL51887.1.A2	49
QWM97319.1.A3	49
B8RG41.A2	49
CCJ67636.1.A3	50
AAP92491.1.A2	50
BAC67535.1.A4|Q84BQ5.A4	50
BAC67536.1.A2|Q84BQ4.A2	50
AHY86403.1.A1	50
AEH59100.1.A7	50
ABH06368.2.A4	50
ABH06369.2.A2	50
AFH75329.1.A4	50
AFH75330.1.A3	50
AAY91420.2.A4	50
AAY91421.3.A3	50
AFH75320.1.A3	50
CCJ67637.1.A3	50
CAY48788.1.A4	50
CAY48789.1.A2	50
AHZ34243.1.A5	50
KPN90376.1.A8	50
KPN93064.1.A3	50
WP_064118559.1.A2	50
WP_064118560.1.A4	50
APU91750.1.A3	50
APU91750.1.A6	50
ABA73955.1.A5	50
ABA73956.1.A3	50
QDF82255.1.A4	50
QDF82259.1.A2	50
AXA91302.1.A2	50
AXA94654.1.A1	50
WP_100939443.1.A2	50
QNL34617.1.A4	50
QNH85840.1.A1	50
BolH.A1	50
AFZ61525.1.A4	50
AFZ61526.1.A2	50
AGE25479.1.A4	50
AGE25480.1.A3	50
ANQ43349.1.A3	50
ABX37385.1.A2	51
AGO86662.1.A1	52
AXM42922.1.A1	53
ESU17760.1.A6	54
OJJ98497.1.A1	55
ESU17760.1.A4	56
CBF73453.1.A1	57
FGSG_15673.A3	58
AAM78457.1.A10	59
