domain	clade
AKL78825.1.A1	0
CAA82227.1.A7|Q09164.A9|ctg1_orf003.A7	1
ATQ39428.1.A7	1
AN2545.A1|CBF87069.1.A1	1
CAD92852.1.A4	2
CAD92849.1.A2	3
AET13875.1.A1	4
AET13879.1.A1	4
AN0607.4.A1	4
WP_054234643.1.A3	5
BBE36469.1.A1	6
CAE14766.1.A1	7
AN0607.4.A2	8
AAU34202.1.A2|Q643C7.A2	9
ATL73036.1.A5	10
KFL51886.1.A2	11
QCC62999.1.A8	12
QCE20598.1.A1|QKW60383.1.A1	13
BAX90000.1.A1	14
AHD05621.1.A3	15
QCE20608.1.A1|QKW60392.1.A1	16
ADG27359.1.A2|Q9L8H4.A2	17
AAD56240.1.A1|CAB15186.3.A1|P45745.A1	17
CAB38517.1.A2|Q9Z4X5.A2	17
AEG64697.1.A1	17
AEG64697.1.A3	17
AEG64697.1.A5	17
AAO23333.1.A2	17
AAL33757.1.A1	17
ABI22132.1.A1	17
AHH53506.1.A5	17
AGN74885.1.A1	17
CAJ76290.1.A1	17
ABX37383.1.A3	17
AHB82058.1.A1	17
AHB82058.1.A3	17
AHB82059.1.A1	17
AAF17280.1.A2|Q9RAH2.A2	17
AEU11006.1.A2	17
ADA69239.2.A1	17
ADD82940.1.A1|D4NZD4.A1	17
AAV97877.1.A1	17
AAS47564.1.A1	17
ABS75232.1.A1	17
AJW76709.1.A2	17
AHB82071.1.A1	17
AHB82071.1.A3	17
ALV82384.1.A2	17
AVR48535.1.A1	17
AVR48535.1.A3	17
WP_047197779.1.A4	17
BAV56270.1.A4	17
BBA21068.1.A1	17
ARR97039.1.A1	17
DAC76731.1.A1	17
DAC76734.1.A1	17
AXA20090.1.A1	17
AXA20091.1.A1	17
QBG38782.1.A1	17
WP_052830344.1.A1	17
QIE07364.1.A1	17
ctg1_6.A1	17
DAC82026.1.A1	17
WP_012408785.1.A2	17
WP_010973248.1.A1	17
TRX17524.1.A5	17
QXJ21809.1.A2	17
QWM97319.1.A4	17
Ga0173608_111498.A7	17
Ga0173608_111989.A1	17
Q81DQ0.A1	17
Q81QP7.A1	17
Q8P449.A1	17
Q8PFQ6.A1	17
AEH59100.1.A5	18
AEA30272.1.A4	18
WP_053065269.1.A1	18
WP_019032755.1.A1	18
QED55423.1.A1	18
MCC5025983.1.A1|MCC5026027.1.A1	18
AHF21228.1.A3	18
ATY37608.1.A6	18
ATY37609.1.A2	18
WP_129549303.1.A1	18
WP_129549303.1.A3	18
WP_013184463.1.A1	18
SOV25620.1.A1	18
WP_006051170.1.A5	19
AAX31558.1.A5	20
AMT84997.1.A1	21
AAZ23075.1.A5|Q45R85.A5	21
ADC79642.1.A1|D3Y1I8.A1	21
QXJ21807.1.A2	21
B1GYG6.A1|CAQ18839.1.A1	22
AIR74926.1.A1|CBD77746.1.A1	22
AIR74925.1.A1|CBD77749.1.A1	22
B0B504.A1|CAN89633.1.A1	22
WP_052165466.1.A1	22
EWM63005.1.A1	22
WP_053065270.1.A1	22
WP_019032753.1.A1	22
BBA21071.1.A1	22
WP_044617900.1.A1	22
QIE07362.1.A1	22
QDG75035.1.A1	22
NAO96318.1.A2	22
CAB38084.1.A1|Q9Z5F4.A1	22
CAD89778.1.A1	22
AAF19815.1.A1	22
AGS06887.1.A1	22
P40806.A2	22
AAZ55900.1.A2	23
CAJ96468.1.A1	24
BAH33409.1.A2	24
AEA30274.1.A1	24
AEP18656.1.A4	24
CCA29202.1.A1	24
ALV86867.1.A2	24
CDG12865.1.A1	24
QDJ74275.1.A1	24
QDJ74275.1.A2	24
YP_856987.1.A1	24
BAP05590.1.A1	25
AXN93615.1.A2	26
EWS95124.1.A1	27
AAX31557.1.A5|Q50E74.A5	28
AAZ55900.1.A3	29
AHZ20774.1.A3	30
AHH53507.1.A5	31
AGN74892.1.A1	32
CCA29203.1.A3	33
CCA89326.1.A1	34
A4PHN0.A1|BAF50727.1.A1	35
DAB41479.1.A1	36
CAD17793.1.A3	37
AHZ34240.1.A2	38
AHZ34241.1.A3	39
AKC91857.1.A1	40
CDG12864.1.A3	41
KPN93065.1.A3	42
AVV61987.1.A1	43
ACC81023.1.A2	44
WP_016638470.1.A1	45
CZT62784.1.A3	46
BAX64244.1.A1	47
WP_004571779.1.A1	48
QBC75023.1.A2	49
AZH23792.1.A1	50
AZH23822.1.A1	51
QED55421.1.A3	52
QED55422.1.A2	53
QDA77045.1.A3	54
QDA77059.1.A4	55
QCP68975.1.A1	56
UEF20580.1.A3	57
QKF54438.1.A3	58
AAX16325.1.A3	59
AHI59109.1.A3	60
ADA82585.1.A1	60
AHB82072.1.A1	60
CCJ67647.1.A3	60
AAZ23077.1.A3	61
ABD65958.1.A5	61
CAM56770.1.A3	61
CAM56770.1.A5	61
EFE73313.1.A3	61
CAJ34374.1.A2	61
ARU08074.1.A4	61
QBC75021.1.A2	61
QBC75022.1.A4	61
QED55421.1.A1	61
QED55422.1.A4	61
AAC44129.1.A1|Q50858.A1	61
BBC83957.1.A8	62
AAM78457.1.A2	63
