domain	clade
AET13875.1.A2|AET13879.1.A2	0
EKJ70673.1.A4	1
BAO73252.1.A4	1
CBF76036.1.A2	2
ESU15173.1.A3	3
BN849_0052030.A3	3
FGSG_15673.A4	4
AAM78457.1.A6	5
AAM78457.1.A17	5
AIW82283.1.A2	6
A9LJA2.A5	7
ABS74206.1.A2	8
CAA84363.1.A2|P94459.A2	8
AAB80955.2.A2|O30980.A2	8
AOA33122.1.A4	9
ABA73955.1.A4	9
QNL34618.1.A2	9
CAK15815.1.A4	10
CAK15815.1.A7	10
ABW17376.1.A3	10
BCJ07532.1.A2	10
AHZ34233.1.A2	10
CAK15815.1.A1	10
AAO56328.1.A3	10
AGM14933.1.A4	10
AGM14933.1.A8	10
BCJ07532.1.A6	10
AGM14934.1.A3	10
BCJ07529.1.A2	10
AGM14933.1.A1	10
BCJ07533.1.A1	10
WP_100939442.1.A3	10
AHZ34232.1.A3	10
ABA73955.1.A1	10
QUS58937.1.A1	11
AHI59109.1.A1	12
Q9K5M2.A1|Q9K5M2.A3	12
AAZ03550.1.A1	12
AAO23333.1.A3	12
AEU11006.1.A1	12
CZT62794.1.A2	12
CCJ67647.1.A2	12
BAH43766.1.A2	12
O30409.A2	12
AAX16325.1.A1	12
APZ78822.1.A4|CAG29032.1.A4	12
APZ78680.1.A3	12
APZ78692.1.A4	12
APZ78704.1.A4	12
APZ78716.1.A4	12
APZ78729.1.A5	12
APZ78744.1.A4	12
APZ78809.1.A4	12
APZ78769.1.A4	12
APZ78782.1.A4	12
APZ78795.1.A4	12
APZ78834.1.A4	12
APZ78856.1.A4	12
APZ78846.1.A4	12
APZ78756.1.A3	12
AQM37584.1.A3	12
BAV56271.1.A2	12
QWM97320.1.A2	12
QDX19369.1.A1	12
AFK57212.1.A1	12
AFK57212.1.A2	12
AHZ20774.1.A2	12
CZT62784.1.A2	12
AFH75320.1.A6	12
AFH75321.1.A4	12
CCJ67639.1.A1	12
APU91750.1.A10	12
PHM49485.1.A2	13
AAU22002.1.A1|AAU39359.1.A1	14
CAA06323.1.A1	14
AAD04757.1.A1	14
O66069.A1|Q45295.A1	14
AHD05678.1.A3	15
BAB69699.1.A3	15
AAF08796.1.A3	15
Q93I55.A3	15
Q9R9J0.A3	15
AJF34463.1.A4	16
QKM21619.1.A3	17
NHN68324.1.A3	17
