domain	clade
EGX96627.1.A2	0
QCC62999.1.A1	1
EKJ70673.1.A2	2
CBF87069.1.A5	3
AN2545.A5	3
BAO73252.1.A2	4
EKJ70673.1.A3	5
ESU17760.1.A2	6
OAQ83772.1.A10	7
AN2545.A4|CBF87069.1.A4	8
EAL89049.1.A3	9
ADY16697.1.A3	9
CAB39315.1.A1|O94205.A1	10
EAL89046.1.A1	11
AAM78457.1.A3	12
CAE14173.1.A2|WP_232507913.1.A2	13
AAM78457.1.A8	13
AGQ43600.1.A2	14
AAA33023.2.A2|Q01886.A2	14
BAB94679.1.A1|P68878.A1	15
BAB57094.1.A1|P68876.A1	15
Q9X2N4.A1	15
Q9CG49.A1	15
AAN00653.1.A1|P59591.A1	15
Q53526.A1	15
Q8VM67.A1	15
Q8K744.A1|Q8P0J9.A1|Q99ZA6.A1	15
AAK76230.1.A1|P0A398.A1	15
AAC05774.1.A1	15
AAA25234.1.A1|P35854.A1	15
Q88VM6.A1	15
CAA51561.1.A1|P39581.A1	15
Q8Y8D4.A1	15
Q92D47.A1	15
WP_032920652.1.A1	16
BAV56002.1.A1	17
ANH11404.1.A1	17
ABB80392.1.A2	18
ABB80392.1.A1	18
AWI62626.1.A2	19
CBJ79915.1.A3|CBJ79916.1.A2	20
ALV86867.1.A1	21
Q9KWY8.A1	22
AGZ15458.1.A2	23
QUS58939.1.A3	24
AOZ21320.1.A1	25
ABD14711.1.A2	26
BAP05596.1.A1	27
Ga0173608_111990.A1	27
WP_234859471.1.A5	27
Ga0173608_111792.A3	27
Ga0173608_111990.A2	27
AGZ03651.1.A1	28
CAD92850.1.A1	29
AAZ23076.1.A1	30
AGN74885.1.A3	30
AHH53507.1.A6	31
WP_050383084.1.A1	31
WP_050383084.1.A2	31
QPI18728.1.A1	31
QPI18728.1.A2	31
EWS95122.1.A2	31
EWS95124.1.A3	31
BAX89999.1.A1	32
BAX90000.1.A2	32
WP_015507662.1.A4	32
WP_041826607.1.A2	32
WP_015507662.1.A6	32
QED55421.1.A2	32
AHH53507.1.A3	32
QRG35013.1.A1	32
QED88054.1.A4	32
QED88055.1.A1	32
AAX31558.1.A3	33
AEA30272.1.A2	34
AAL33756.1.A1	35
UHJ79953.1.A1	35
AGD80623.1.A1	36
AGD80623.1.A2	36
AGD80623.1.A3	36
BAO84861.1.A1	36
AAK57184.1.A1	37
ABI22131.1.A2	37
Q50857.A1	37
QCQ67879.1.A2	37
CAJ46691.1.A1|Q0VZ71.A1	37
AAF00960.1.A2|Q9RNB1.A2	37
BAA83992.1.A2|Q9S1A9.A2	37
CAD29797.1.A2	37
ACZ55944.1.A2	37
AAO62586.1.A2	37
AQH32484.1.A2	37
QCP68976.1.A1	37
AAY93354.1.A1	37
AAY93355.1.A2	37
CAD92850.1.A3	37
WP_010973248.1.A2	37
WP_010973247.1.A1	37
WP_108867380.1.A1	37
AAS98786.1.A1	37
AIW82284.1.A3	37
AXN93581.1.A5	37
AXN93590.1.A5	37
CAD17793.1.A4	37
QKM21620.1.A3	37
NHN68325.1.A3	37
UHJ79953.1.A3	37
CDG17980.1.A2	37
WP_011146892.1.A2	37
WP_013428324.1.A5	37
WP_013428774.1.A5	37
WP_013428324.1.A4	37
WP_013428324.1.A6	37
CDG17982.1.A1	37
QKM21619.1.A2	37
NHN68324.1.A2	37
QKM21620.1.A1	37
NHN68325.1.A1	37
AAF99707.2.A5|Q9FDB3.A5	37
AAO72424.1.A1|Q83VS1.A1	37
AAO72424.1.A5|Q83VS1.A5	37
AAO72425.1.A2|Q83VS0.A5	37
AAO72425.1.A3|Q83VS0.A6	37
AAO72425.1.A7|Q83VS0.A10	37
AAO72425.1.A9|Q83VS0.A12	37
AHZ34238.1.A3	37
AHZ34238.1.A4	37
AHZ34239.1.A1	37
AHZ34239.1.A2	37
AHZ34241.1.A4	37
AHZ34242.1.A2	37
AHZ34243.1.A3	37
KPN90376.1.A2	37
KPN90376.1.A6	37
KPN93063.1.A3	37
KPN93063.1.A4	37
KPN93063.1.A5	37
KPN93063.1.A7	37
KPN93064.1.A4	37
AJF34464.1.A3	37
QWP75305.1.A1	37
AGC45618.1.A1	37
AAG02356.1.A1|Q9FB26.A1	38
ABL74937.1.A1	38
WP_004942674.1.A1	39
APZ78822.1.A1|CAG29032.1.A1	40
APZ78834.1.A1	40
APZ78846.1.A1	40
AAC44128.1.A1	41
EAL92291.2.A2	42
ABF87031.1.A10|YP_631961.1.A9	43
QCE20609.1.A1|QKW60393.1.A1	44
CAJ76298.1.A1	45
AFR69334.1.A1	46
AMT84997.1.A2	47
ABS74207.1.A2	48
AAB80956.1.A2|O30981.A2	48
AHF21229.1.A3	49
AKA59447.1.A4	50
CAA82227.1.A11|Q09164.A3|ctg1_orf003.A11	51
ATQ39428.1.A11	51
MAA_10043.A6	51
APZ78846.1.A3	52
APZ78822.1.A3|CAG29032.1.A3	52
APZ78834.1.A3	52
APZ78680.1.A2	52
APZ78692.1.A3	52
APZ78704.1.A3	52
APZ78716.1.A3	52
APZ78856.1.A3	52
APZ78744.1.A3	52
APZ78769.1.A3	52
APZ78795.1.A3	52
APZ78809.1.A3	52
APZ78782.1.A3	52
APZ78729.1.A4	52
ATL73036.1.A2	52
APZ78768.1.A2	52
APZ78679.1.A2	52
APZ78691.1.A2	52
APZ78703.1.A2	52
APZ78715.1.A2	52
APZ78855.1.A2	52
APZ78743.1.A2	52
AQM37583.1.A2	52
APZ78794.1.A2	52
APZ78781.1.A2	52
APZ78755.1.A2	52
APZ78728.1.A2	52
APZ78808.1.A2	52
AAD44234.1.A1	53
CAJ77696.1.A1	53
CAJ77716.1.A1	53
AAT01807.1.A1|CAB55600.1.A3|Q9RLP6.A3	53
QXJ21808.1.A1	54
ASX95241.1.A4	55
BBA20967.1.A4	55
ABW00331.1.A3	56
WP_018540607.1.A1	57
AET98906.1.A2	58
WP_028678149.1.A2	58
BAE98155.1.A2	58
BAI63288.1.A2	58
BAH04162.1.A2	58
ABD65958.1.A7	59
AEI70245.1.A1	60
WP_016638471.1.A1	61
AXN93602.1.A5	62
