domain	clade
BAN91483.1.A1	0
EPE34341.1.A1	0
AMM63162.1.A1	0
AFT91378.1.A1	0
CBL93718.1.A1	1
Ga0173608_11676.A6	2
AHH53507.1.A1	3
AAX31558.1.A1	4
ANZ15839.1.A1	5
ATU31795.1.A1	5
ctg1_orf1264.A2	6
CBG75492.1.A4	7
CP001614.2.A1	8
AEP18655.1.A4	9
AEP18656.1.A7	10
ABS74209.1.A2|CAE11277.1.A2	11
CAA84360.1.A2|P39845.A2	11
AAC36721.1.A2|O87606.A2	11
AAC06347.1.A2|O68007.A2	12
AGM16412.1.A1	13
AGM16412.1.A4	13
ATY37608.1.A4	13
ATY37608.1.A5	13
ATY37608.1.A7	13
BAA06146.1.A3|Q44928.A3	13
P0C063.A3	13
CAA43838.1.A3	13
BAH43766.1.A5	13
O30409.A5	13
EFL02193.1.A1	14
A8BB73.A1	14
APD26279.1.A1	14
AED90002.1.A2	15
WP_013184463.1.A2	15
SOV25620.1.A2	15
ABD65957.1.A2	16
ATY37589.1.A2	17
