domain	clade
ATY37591.1.A3	0
ATY37590.1.A4	0
AAY29580.1.A4	0
AAC06347.1.A1|O68007.A1	1
AGM16413.1.A2	2
AGM16414.1.A2	2
CAE14173.1.A1|WP_232507913.1.A1	3
AHD05617.1.A1	4
Ga0173608_112008.A9	5
SOV25622.1.A3|WP_013184461.1.A3	6
EXU96269.1.A1	7
YP_856990.1.A1	8
AAG31130.1.A1	8
QRK05501.1.A1	8
CCP42826.1.A1	9
WP_078857611.1.A1	10
WP_041826607.1.A5	11
EFE73313.1.A2	12
QNH67550.1.A5	13
ARU08074.1.A1	14
NSC23530.1.A1	15
AGE11898.1.A2	16
AAZ23077.1.A1	17
CFJ82030.1.A1|O86329.A1|Q7D791.A1	18
WP_047195042.1.A1	19
QIE07359.1.A1	19
CCJ67640.1.A6	20
AFH75322.1.A6	20
APU91751.1.A6	20
PHM49485.1.A6	21
AJY78094.1.A1	22
AAY93354.1.A3	23
AAY93356.2.A3	23
AAX16296.1.A1	23
ABV79985.1.A2	24
ACZ55945.1.A2	24
ACZ55942.1.A2	25
ACC81021.1.A2	25
SOV25619.1.A1|WP_013184464.1.A1	26
WP_013184461.1.A1	26
SOV25622.1.A1	26
