domain	clade
APZ78834.1.A1	0
APZ78822.1.A1|CAG29032.1.A1	0
APZ78846.1.A1	0
CAE14173.1.A2|WP_232507913.1.A2	1
AHI59109.1.A3	2
AHF21228.1.A3	2
WP_129549303.1.A3	2
WP_129549303.1.A1	2
ATY37608.1.A6	2
ATY37609.1.A2	2
AHD05621.1.A3	3
WP_108867380.1.A1	3
Ga0173608_111498.A7	4
Ga0173608_111989.A1	4
Ga0173608_111990.A1	5
Ga0173608_111792.A3	5
Ga0173608_111990.A2	5
WP_234859471.1.A5	6
AKL78825.1.A1	7
EAL92291.2.A2	8
CAE14766.1.A1	9
WP_032920652.1.A1	10
BBE36469.1.A1	11
BAV56002.1.A1	12
ANH11404.1.A1	12
AAN85530.1.A1	12
ATY69590.1.A1	12
AAC44128.1.A1	13
AN0607.4.A2	14
AN0607.4.A1	15
AET13875.1.A1	15
AET13879.1.A1	15
CCA29202.1.A1	16
CDG12865.1.A1	16
AMT84997.1.A2	17
MAA_10043.A6	17
CAA82227.1.A7|Q09164.A9|ctg1_orf003.A7	18
ATQ39428.1.A7	18
CAA82227.1.A1|Q09164.A1|ctg1_orf003.A1	19
ATQ39428.1.A1	19
BBC83957.1.A8	19
CAA82227.1.A11|Q09164.A3|ctg1_orf003.A11	20
ATQ39428.1.A11	20
Q8Y8D4.A1	21
Q92D47.A1	21
Q9CG49.A1	21
AAA25234.1.A1|P35854.A1	21
Q8K744.A1|Q8P0J9.A1|Q99ZA6.A1	21
AAK76230.1.A1|P0A398.A1	21
AAC05774.1.A1	21
Q53526.A1	21
AAN00653.1.A1|P59591.A1	21
Q8VM67.A1	21
Q88VM6.A1	21
CAA51561.1.A1|P39581.A1	21
Q9X2N4.A1	21
BAB94679.1.A1|P68878.A1	21
BAB57094.1.A1|P68876.A1	21
OAQ83772.1.A8	22
AAM78457.1.A3	23
AAM78457.1.A12	24
AAM78457.1.A2	25
OAQ83772.1.A7	26
OAQ83772.1.A4	26
AAM78457.1.A7	26
AAM78457.1.A9	26
AAM78457.1.A16	26
AAM78457.1.A15	27
AAM78457.1.A1	28
AAM78457.1.A5	29
AAM78457.1.A8	30
OAQ83772.1.A9	31
OAQ83772.1.A10	32
EXU96269.1.A2	33
QCC62999.1.A1	34
EKJ70673.1.A2	35
EKJ70673.1.A3	36
BAO73252.1.A2	36
QCC62999.1.A8	37
EGX96627.1.A2	38
AN2545.A1|CBF87069.1.A1	39
AN2545.A4|CBF87069.1.A4	40
CBF87069.1.A5	40
AN2545.A5	40
ESU17760.1.A2	41
CAB39315.1.A1|O94205.A1	42
EAL89049.1.A3	43
ADY16697.1.A3	43
EAL89046.1.A1	44
ADY16689.1.A1	44
MAA_10043.A1	45
AMT84997.1.A1	46
AGQ43600.1.A2	47
AAA33023.2.A2|Q01886.A2	47
AGQ43600.1.A3	48
A45086.A3|AAA33023.2.A3|Q01886.A3	48
ACG60771.1.A1	49
QCE20609.1.A1|QKW60393.1.A1	50
QCE20598.1.A1|QKW60383.1.A1	51
CCA29203.1.A3	52
CDG12864.1.A3	52
CBJ79915.1.A3|CBJ79916.1.A2	53
AKA59447.1.A4	54
AAU34202.1.A2|Q643C7.A2	55
ABW00331.1.A3	56
ASX95241.1.A4	57
BBA20967.1.A4	57
ATL73036.1.A2	58
QBG38782.1.A1	59
QED88054.1.A4	60
QED88055.1.A1	60
UEF20580.1.A3	61
QKF54438.1.A3	61
AAZ23076.1.A1	62
WP_054234643.1.A3	63
WP_079164394.1.A1	64
BAX90000.1.A1	64
AHH53507.1.A3	64
AHH53507.1.A6	64
WP_050383084.1.A1	64
WP_050383084.1.A2	64
QPI18728.1.A1	64
QPI18728.1.A2	64
BAX89999.1.A1	64
BAX90000.1.A2	64
AEA30272.1.A2	64
QRG35013.1.A1	64
QED55421.1.A2	64
AGN74885.1.A3	64
WP_041826607.1.A2	64
WP_015507662.1.A4	64
WP_015507662.1.A6	64
EWS95122.1.A2	64
EWS95124.1.A3	64
AAD44234.1.A1	65
AAT01807.1.A1|CAB55600.1.A3|Q9RLP6.A3	65
CAJ77696.1.A1	65
CAJ77716.1.A1	65
QXJ21808.1.A1	66
AHF21229.1.A3	67
ABS74207.1.A2	68
AAB80956.1.A2|O30981.A2	69
CAJ76298.1.A1	70
AFR69334.1.A1	71
BAW32323.1.A1	72
BAW32333.1.A1	72
CAA11962.1.A1|O76858.A1	72
QDA77045.1.A4	72
QDA77059.1.A5	72
Q6E7J8.A1	72
ACG60772.1.A1	73
ABL74945.1.A1	73
AAG02364.1.A1|Q9FB18.A1	73
WP_004947051.1.A1	73
AAC82549.1.A2|O87313.A2	74
QUS58939.1.A3	75
CAD92850.1.A1	76
CAD92849.1.A2	76
BAP05596.1.A1	76
AOZ21320.1.A1	76
ABD14711.1.A2	76
AGZ03651.1.A1	76
ABQ96384.2.A6	76
A9LJA2.A6	76
AGZ15458.1.A2	77
AAX31558.1.A3	78
ATL73036.1.A5	79
ALV86867.1.A1	80
ABB80392.1.A2	81
ABB80392.1.A1	81
Q9KWY8.A1	82
AWI62626.1.A2	83
AHB82058.1.A1	84
AHB82071.1.A1	84
AHB82058.1.A3	84
AHB82071.1.A3	84
AHB82059.1.A1	84
AHB82072.1.A1	84
QDA77045.1.A3	85
QDA77059.1.A4	85
WP_018540607.1.A1	86
WP_053065269.1.A1	86
WP_019032755.1.A1	86
WP_052165466.1.A1	86
EWM63005.1.A1	86
WP_053065270.1.A1	86
WP_019032753.1.A1	86
AHZ20774.1.A3	86
CZT62784.1.A3	86
AAO23333.1.A2	86
AEU11006.1.A2	86
AAF17280.1.A2|Q9RAH2.A2	86
WP_012408785.1.A2	86
QCP68975.1.A1	86
AZH23792.1.A1	86
AZH23822.1.A1	86
AVR48535.1.A3	86
AXN93602.1.A5	86
AXN93615.1.A2	86
AAC44129.1.A1|Q50858.A1	87
QIE07364.1.A1	87
WP_013184463.1.A1	87
SOV25620.1.A1	87
AAX31558.1.A5	88
AHH53507.1.A5	88
AHH53506.1.A5	88
AAZ23077.1.A3	88
AAX31557.1.A5|Q50E74.A5	88
BAX64244.1.A1	88
ALV86867.1.A2	88
QED55422.1.A2	88
CAB38517.1.A2|Q9Z4X5.A2	88
ALV82384.1.A2	88
QBC75021.1.A2	88
QBC75022.1.A4	88
QED55421.1.A1	88
QED55422.1.A4	88
ARU08074.1.A4	88
CAM56770.1.A3	88
CAM56770.1.A5	88
AEG64697.1.A1	88
AEG64697.1.A3	88
AEG64697.1.A5	88
QDJ74275.1.A1	88
QDJ74275.1.A2	88
AEA30272.1.A4	88
AEA30274.1.A1	88
AAZ23075.1.A5|Q45R85.A5	88
AGN74885.1.A1	88
EWS95124.1.A1	88
QBC75023.1.A2	88
QED55421.1.A3	88
ADG27359.1.A2|Q9L8H4.A2	88
AKC91857.1.A1	88
AEI70245.1.A1	88
Q81DQ0.A1	88
Q81QP7.A1	88
AAD56240.1.A1|CAB15186.3.A1|P45745.A1	88
ABS75232.1.A1	88
AJW76709.1.A2	88
EFE73313.1.A3	88
ABD65958.1.A5	88
ABD65958.1.A7	88
AAZ55900.1.A2	88
AAZ55900.1.A3	88
BAH33409.1.A2	88
CAJ96468.1.A1	88
DAB41479.1.A1	88
WP_016638470.1.A1	88
WP_016638471.1.A1	88
CAJ34374.1.A2	88
BAI63288.1.A2	88
WP_028678149.1.A2	88
AET98906.1.A2	88
BAH04162.1.A2	88
BAE98155.1.A2	88
QED55423.1.A1	88
AEH59100.1.A5	88
AEP18656.1.A4	88
BAV56270.1.A4	88
QWM97319.1.A4	88
WP_006051170.1.A5	89
TRX17524.1.A5	89
ABI22132.1.A1	89
AAL33757.1.A1	89
QCE20608.1.A1|QKW60392.1.A1	89
YP_856987.1.A1	89
BAP16697.1.A1	89
QXJ21809.1.A2	89
AGN74892.1.A1	89
A4PHN0.A1|BAF50727.1.A1	89
QXJ21807.1.A2	89
CAN89638.1.A1	89
ADC79642.1.A1|D3Y1I8.A1	89
AVV61987.1.A1	89
WP_004571779.1.A1	89
ABC35522.1.A1	89
QDG75035.1.A1	89
AXA20090.1.A1	89
AXA20091.1.A1	89
ADD82940.1.A1|D4NZD4.A1	89
CAB38084.1.A1|Q9Z5F4.A1	89
WP_044617900.1.A1	89
WP_052830344.1.A1	89
AGS06887.1.A1	89
AAS47564.1.A1	89
P40806.A2	89
ADA69239.2.A1	89
AVR48535.1.A1	89
AAV97877.1.A1	89
ADA82585.1.A1	89
ctg1_6.A1	89
BAP05590.1.A1	89
QIE07362.1.A1	89
THA23574.1.A1	90
MCC5025983.1.A1|MCC5026027.1.A1	91
Q8P449.A1	91
Q8PFQ6.A1	91
BBA21071.1.A1	91
DAC76731.1.A1	91
B1GYG6.A1|CAQ18839.1.A1	91
CCA89326.1.A1	91
BBA21068.1.A1	91
DAC76734.1.A1	91
DAC82026.1.A1	91
ARR97039.1.A1	91
CAJ76290.1.A1	92
WP_010973235.1.A1	93
WP_010973248.1.A1	93
B0B504.A1|CAN89633.1.A1	94
CCJ67647.1.A3	94
WP_047197779.1.A4	95
ABX37383.1.A3	95
NAO96318.1.A2	95
AAX16325.1.A3	95
AIR74926.1.A1|CBD77746.1.A1	95
AIR74925.1.A1|CBD77749.1.A1	95
CAD17793.1.A3	95
AHZ34240.1.A2	95
AHZ34241.1.A3	95
CAD89778.1.A1	96
AAF19815.1.A1	96
CAJ46691.1.A1|Q0VZ71.A1	96
AAY93354.1.A1	96
AAY93355.1.A2	96
QCP68976.1.A1	96
Q50857.A1	96
AAS98786.1.A1	96
CAD29797.1.A2	96
AAO62586.1.A2	96
AQH32484.1.A2	96
QCQ67879.1.A2	96
AAF00960.1.A2|Q9RNB1.A2	96
BAA83992.1.A2|Q9S1A9.A2	96
AIW82284.1.A3	96
AXN93581.1.A5	96
AXN93590.1.A5	96
CAD92850.1.A3	96
CAD92852.1.A4	96
ACZ55944.1.A2	96
ACC81023.1.A2	96
AAK57184.1.A1	96
AGC45618.1.A1	96
BAO84861.1.A1	96
AGD80623.1.A3	96
AGD80623.1.A2	96
AGD80623.1.A1	96
WP_010973248.1.A2	96
WP_010973247.1.A1	96
UHJ79953.1.A3	96
UHJ79953.1.A1	96
ABL74937.1.A1	96
AAG02356.1.A1|Q9FB26.A1	96
WP_004942674.1.A1	96
AAL33756.1.A1	96
ABI22131.1.A2	96
QKM21620.1.A3	96
NHN68325.1.A3	96
QKM21620.1.A1	96
NHN68325.1.A1	96
QKM21619.1.A2	96
NHN68324.1.A2	96
KPN93063.1.A7	96
KPN90376.1.A2	96
KPN93063.1.A5	96
KPN93064.1.A4	96
KPN93063.1.A3	96
KPN90376.1.A6	96
KPN93063.1.A4	96
AAO72424.1.A5|Q83VS1.A5	96
AAF99707.2.A5|Q9FDB3.A5	96
AAO72425.1.A7|Q83VS0.A10	96
AAO72425.1.A9|Q83VS0.A12	96
AAO72425.1.A3|Q83VS0.A6	96
AAO72424.1.A1|Q83VS1.A1	96
AAO72425.1.A2|Q83VS0.A5	96
AHZ34243.1.A3	96
AHZ34242.1.A2	96
AHZ34239.1.A1	96
AHZ34239.1.A2	96
AHZ34238.1.A4	96
AHZ34238.1.A3	96
AHZ34241.1.A4	96
AJF34464.1.A3	96
QWP75305.1.A1	96
KFL51886.1.A2	97
APZ78834.1.A3	98
APZ78822.1.A3|CAG29032.1.A3	98
APZ78846.1.A3	98
APZ78856.1.A3	98
APZ78680.1.A2	98
APZ78704.1.A3	98
APZ78692.1.A3	98
APZ78716.1.A3	98
APZ78744.1.A3	98
APZ78729.1.A4	98
APZ78795.1.A3	98
APZ78769.1.A3	98
APZ78782.1.A3	98
APZ78809.1.A3	98
APZ78855.1.A2	99
APZ78679.1.A2	99
APZ78715.1.A2	99
APZ78691.1.A2	99
APZ78703.1.A2	99
APZ78728.1.A2	99
APZ78755.1.A2	99
APZ78743.1.A2	99
AQM37583.1.A2	99
APZ78808.1.A2	99
APZ78794.1.A2	99
APZ78768.1.A2	99
APZ78781.1.A2	99
WP_011146892.1.A2	100
WP_013428324.1.A4	100
WP_013428324.1.A6	100
WP_013428324.1.A5	100
WP_013428774.1.A5	100
KPN93065.1.A3	101
ABF87031.1.A10|YP_631961.1.A9	102
CAD17793.1.A5	103
CAD17793.1.A4	104
CDG17982.1.A2	105
WP_013184596.1.A4	105
CDG17980.1.A2	106
CDG17982.1.A1	106
AHD05615.1.A1	107
