domain	clade
AAU22002.1.A1|AAU39359.1.A1	0
CAA06323.1.A1	0
O66069.A1|Q45295.A1	0
AAD04757.1.A1	0
AHD05678.1.A3	1
BAB69699.1.A3	1
Q93I55.A3	1
AAF08796.1.A3	1
Q9R9J0.A3	1
AHI59109.1.A1	2
AET13875.1.A2|AET13879.1.A2	3
AAM78457.1.A6	4
AAM78457.1.A17	4
CBF76036.1.A2	5
ESU15173.1.A3	6
BN849_0052030.A3	6
EKJ70673.1.A4	7
BAO73252.1.A4	7
FGSG_15673.A4	8
AFK57212.1.A1	9
AFK57212.1.A2	9
BAV56271.1.A2	10
QWM97320.1.A2	10
APZ78756.1.A3	11
AQM37584.1.A3	11
APZ78822.1.A4|CAG29032.1.A4	11
APZ78846.1.A4	11
APZ78834.1.A4	11
APZ78856.1.A4	11
APZ78680.1.A3	11
APZ78704.1.A4	11
APZ78692.1.A4	11
APZ78716.1.A4	11
APZ78729.1.A5	11
APZ78744.1.A4	11
APZ78809.1.A4	11
APZ78795.1.A4	11
APZ78769.1.A4	11
APZ78782.1.A4	11
CCJ67647.1.A2	11
AAX16325.1.A1	11
QUS58937.1.A1	12
QNL34618.1.A2	13
AHZ34233.1.A2	14
AGM14934.1.A3	14
BCJ07529.1.A2	14
AGM14933.1.A1	14
BCJ07533.1.A1	14
AGM14933.1.A4	14
BCJ07532.1.A2	14
CAK15815.1.A1	14
CAK15815.1.A4	14
CAK15815.1.A7	14
AGM14933.1.A8	14
BCJ07532.1.A6	14
ABW17376.1.A3	14
WP_100939442.1.A3	14
AHZ34232.1.A3	14
AAO56328.1.A3	14
AOA33122.1.A4	15
ABA73955.1.A4	15
ABA73955.1.A1	16
CCJ67639.1.A1	17
APU91750.1.A10	17
AFH75320.1.A6	17
AFH75321.1.A4	17
AHZ20774.1.A2	18
CZT62784.1.A2	18
BAH43766.1.A2	19
O30409.A2	19
ABS74206.1.A2	20
CAA84363.1.A2|P94459.A2	20
AAB80955.2.A2|O30980.A2	20
QDX19369.1.A1	21
AEU11006.1.A1	22
Q9K5M2.A1|Q9K5M2.A3	22
AAO23333.1.A3	22
AAZ03550.1.A1	22
CZT62794.1.A2	22
PHM49485.1.A2	23
QKM21619.1.A3	24
NHN68324.1.A3	24
AJF34463.1.A4	25
AIW82283.1.A2	26
A9LJA2.A5	27
