domain	clade
AAT09804.1.A1	0
AAT09804.1.A3	0
AAT09805.1.A2	0
EWS95124.1.A2	1
DAB41477.1.A1	2
AAK81827.1.A1|Q93N86.A1	3
WP_126902740.1.A1	3
AAM80537.1.A2|Q8KLL5.A2	3
AGS77309.1.A2	3
AIE77057.1.A1	3
AIG79243.1.A1	3
BS329_14150.A1	3
AHF20582.1.A1	3
OKA09424.1.A2	3
CAC48361.1.A2|Q939Z0.A2	3
AIE77059.1.A2	3
AIG79241.1.A2	3
AEI58866.1.A2	3
OLZ52457.1.A2	3
AHF20584.1.A2	3
CAA11795.1.A2|O52820.A2	3
EME52989.1.A2	3
OLZ50885.1.A2	3
AYA22334.1.A2	3
CAD91212.1.A2|Q7WZ74.A2	3
QYC40289.1.A2	3
CAE53352.1.A2|CAG15011.1.A2|Q70AZ7.A2	3
RSO11553.1.A1	3
RSO11555.1.A1	4
RSO11554.1.A2	4
RSO11556.1.A1	4
MCC5036785.1.A2	4
RSO11554.1.A1	4
DMH02_027320.A1	4
AZM57022.1.A1	4
MCC5036785.1.A1	4
MCC5036784.1.A1	4
MCC5036786.1.A1	4
WP_125938384.1.A1	4
WP_126902739.1.A2	4
AAK81826.1.A2|Q93N87.A2	4
AAK81825.1.A1|Q93N88.A1	4
AAK81826.1.A1|Q93N87.A1	4
WP_126900392.1.A1	4
WP_126902739.1.A1	4
AZM57024.1.A1	4
AZM57023.1.A1	4
WP_126900393.1.A1	4
AYA22334.1.A1|OLZ50885.1.A1	4
OKA09424.1.A1	4
OLZ52457.1.A1	4
CAD91212.1.A1|Q7WZ74.A1	4
CAC48361.1.A1|Q939Z0.A1	4
AIE77059.1.A1	4
AIG79241.1.A1	4
AEI58866.1.A1	4
AGS77309.1.A1	4
EME52989.1.A1	4
QYC40289.1.A1	4
AHF20584.1.A1	4
CAA11795.1.A1|O52820.A1	4
AAM80537.1.A1|Q8KLL5.A1	4
AQZ69228.1.A2	4
AQZ69228.1.A1	4
CAE53352.1.A1|CAG15011.1.A1|Q70AZ7.A1	4
AGS77307.1.A1	5
CAD91220.1.A1|Q7WZ66.A1	5
AAM80539.1.A1|Q8KLL3.A1	5
CAE53350.1.A1|CAG15009.1.A1|Q70AZ9.A1	5
QYC40287.1.A1	5
AAM80536.1.A1|Q8KLL6.A1	6
CAE53353.1.A1|CAG15012.1.A1|Q70AZ6.A1	6
AGS77310.1.A1	6
AEI58867.1.A1	6
AIG79240.1.A1	6
AHF20585.1.A1	6
CAD91211.1.A1|Q7WZ75.A1	6
OLZ52456.1.A1	6
QYC40290.1.A1	6
AIE77060.1.A1	6
CAA11796.1.A1|O52821.A1	6
CAC48362.1.A1|Q939Y9.A1	6
OKA09425.1.A1	6
EME52988.1.A1	6
AYA22333.1.A1|OLZ50886.1.A1	6
AQZ69227.1.A1	6
CAD91221.1.A1|Q7WZ65.A1	6
AAM80538.1.A1|Q8KLL4.A1	6
CAE53351.1.A1|Q70AZ8.A1	6
CAG15010.1.A1	6
AGS77308.1.A1	6
AIE77058.1.A1	6
AIG79242.1.A1	6
AHF20583.1.A1	6
QYC40288.1.A1	6
BS330_28385.A1	6
AQZ69229.1.A1	6
AYA22336.1.A1	6
CAB38518.1.A6|Q9Z4X6.A6	7
ALV82356.1.A6	7
ABP55169.1.A1	8
ABD65958.1.A2	9
ALK27916.1.A1	9
ALK27915.1.A1	9
ALK27915.1.A3	9
ABD65957.1.A1	9
ABD65957.1.A4	9
ABD65958.1.A4	9
ABD65957.1.A5	9
ABD65958.1.A8	9
ATL73036.1.A3	10
ALK27914.1.A1	11
ALK27914.1.A4	11
ALK27915.1.A2	11
ALK27915.1.A4	11
ALK27914.1.A2	11
WP_125938384.1.A2	11
WP_125939455.1.A1	11
WP_125939455.1.A2	11
WP_125939456.1.A1	11
WP_125939457.1.A1	11
AZM57022.1.A2	11
DMA15_34345.A1	11
AZM58102.1.A1	11
ALK27915.1.A6	11
