domain	clade
AGC65517.1.A1	0
AGC65515.1.A2	0
CAB39315.1.A2|O94205.A2	1
CAJ46692.1.A1	1
WP_013184596.1.A2	1
WP_013184596.1.A3	1
ATO51563.1.A1	2
ATO51563.1.A4	3
AEH59099.1.A3	4
AJF34463.1.A1	4
QEO74983.1.A1	5
CAP93139.1.A1	6
AGA37267.1.A2	6
AGA37269.1.A2	6
ctg16_307.A2	6
ATY37591.1.A4	6
CBF87869.1.A1	6
EKJ70673.1.A5	7
BAO73252.1.A5	7
ABM21571.1.A1	8
B9ZUK5.A1|CAQ43084.1.A1	9
WP_003981346.1.A1	10
CAI94718.1.A2	10
QDA77059.1.A3	10
ATY37608.1.A2	10
CAD91212.1.A3|Q7WZ74.A3	11
CAD91220.1.A2|Q7WZ66.A2	11
AAM80539.1.A2|Q8KLL3.A2	11
EWS95124.1.A4	11
AAK81826.1.A3|Q93N87.A3	11
AID65225.1.A1	11
AAU34203.1.A1	11
AAO23333.1.A1	11
CAE53350.1.A2|CAG15009.1.A2|Q70AZ9.A2	11
AGS77307.1.A2	11
AQZ69228.1.A3	11
WP_003981346.1.A2	11
QBC75021.1.A4	11
QBG38782.1.A3	11
QNH67550.1.A4	11
QNH67551.1.A3	11
QUS58939.1.A1	11
QYC40287.1.A2	11
QYC40289.1.A3	11
MCC5036785.1.A3	11
WP_125938384.1.A3	11
WP_126902739.1.A3	11
AAM80537.1.A3|Q8KLL5.A3	12
AAZ03552.1.A4	13
CAE53352.1.A3|CAG15011.1.A3|Q70AZ7.A3	13
BAH22764.1.A4	13
AGS77309.1.A3	13
WP_011146892.1.A5	13
ACZ55942.1.A1	14
AHZ20773.1.A2	14
AAF17281.1.A1|Q9RAH1.A1	14
CAD17792.1.A3	14
CZT62785.1.A2	14
WP_013428324.1.A3	14
QDA77045.1.A2	14
QDA77045.1.A5	14
QDA77059.1.A6	14
CBW75451.1.A2|QIH29229.1.A2	14
CBW75451.1.A3|QIH29229.1.A3	14
WP_012408786.1.A1	14
QWP75305.1.A6	14
AZM57024.1.A2	14
AZM57024.1.A3	14
UEF20591.1.A1	14
UEF20592.1.A1	14
QKF54435.2.A1	14
QKF54435.2.A2	14
CAC01604.1.A4	14
A6P624.A1	14
WP_054234617.1.A2	14
AFK57221.1.A1	14
CCJ67646.1.A2	14
QED55423.1.A3	14
ALG65319.1.A2	14
QBA57735.1.A2	14
RSO11554.1.A3	14
WP_054234617.1.A1	14
CAJ46692.1.A2	15
CAC48369.1.A1|Q939Y2.A1	15
AIE77076.1.A1	15
AIG79224.1.A1	15
AEI58879.1.A1	15
OKA09664.1.A1	15
EME52974.1.A1	15
OLZ50899.1.A1	15
OLZ52442.1.A1	15
AYA22318.1.A1	15
WP_043882190.1.A4	15
CAD55498.1.A2|Q8CJX2.A2	16
ALV82388.1.A2	16
AAU34202.1.A3|Q643C7.A3	16
QXJ21808.1.A3	16
KFL51885.1.A1	16
CCM44336.1.A2	16
AGE11898.1.A1	16
PHM26612.1.A2	16
AAC06348.1.A2|O68008.A2	17
WP_044618979.1.A1	17
WP_013428774.1.A2	17
AAD44233.1.A1	18
A8M6W3.A2|ABW00331.1.A4	18
AEA30273.1.A1	18
AAN32981.1.A1|Q8GAQ3.A1	18
DAB41477.1.A2	18
ALK27916.1.A2	18
ALG65318.1.A2	18
AIW58892.1.A12	18
WP_015507661.1.A2	18
AVI26393.1.A3	18
QED88054.1.A1	18
WP_054234643.1.A1	18
WP_010350605.1.A1	18
QNH67550.1.A2	18
QDJ74273.1.A4	18
QGA70148.1.A11	18
QBA57736.1.A2	18
CAA72310.1.A2|O05647.A2	18
CCP42826.1.A2	19
AAT01806.1.A1|CAB55600.1.A1|Q9RLP6.A1	20
CAJ77695.1.A1	21
CAJ77715.1.A1	21
AFJ14794.1.A3	22
AGZ03650.1.A1	22
BAH43764.1.A1	22
BAH43765.1.A3	22
ACC81021.1.A1	22
BAA00406.1.A1|P14687.A1	22
CAA31623.1.A1|P09095.A1	22
A7UC77.A1|ABS87601.1.A1|EAL85113.2.A1	23
AAZ03552.1.A3	24
AEP18656.1.A5	24
AEU11003.1.A2	24
WP_051206727.1.A1	24
BAV56270.1.A5	24
QWM97319.1.A5	24
CAA67249.1.A2|O07944.A2	25
AID65224.1.A2	26
AJV88375.1.A3	26
AYA22335.1.A1	26
CAB38518.1.A3|Q9Z4X6.A3	27
ALV82356.1.A3	27
CAC48361.1.A3|Q939Z0.A3	28
AIE77059.1.A3	28
AIG79241.1.A3	28
AEI58866.1.A3	28
OKA09424.1.A3	28
EME52989.1.A3	28
OLZ50885.1.A3	28
OLZ52457.1.A3	28
AYA22334.1.A3	28
AHF20584.1.A3	28
CAA11795.1.A3|O52820.A3	28
ACZ55946.1.A1	29
ABI26078.1.A4	29
AAC45929.1.A3|O30408.A3	29
AAT12283.1.A2	30
AFO85453.1.A2	30
BAE98162.1.A1	31
AET98916.1.A1	31
BAI63283.1.A1	31
BAH04173.1.A1	31
AHF21228.1.A5	32
WP_043882190.1.A1	32
WP_129549303.1.A5	32
AEZ51516.1.A1	32
WP_043882190.1.A3	32
AHF21228.1.A9	32
