domain	clade
CBG67541.1.A2	0
AFH75322.1.A5	1
AAY37647.1.A3	1
AAY37647.1.A4	1
AAO72425.1.A10	1
AAO72425.1.A11	1
CCJ67640.1.A5	1
AHZ34243.1.A4	1
KPN90376.1.A7	1
KPN93065.1.A2	1
WP_047195042.1.A4	1
WP_047197778.1.A3	1
APU91751.1.A5	1
AF047828.1.A3	1
AF047828.1.A4	1
O85168.A3	1
O85168.A4	1
Q83VS0.A2	1
Q83VS0.A3	1
CAJ96472.1.A2	2
AAY93445.1.A4	2
KFL51886.1.A1	2
AAX16327.1.A2	2
AAG05812.1.A3	2
WP_013184464.1.A2	3
AJM89738.1.A3	4
ACA97580.1.A1|B9TTF7.A1	4
ACA97580.1.A3|B9TTF7.A3	4
AHF21228.1.A2	4
AHF21228.1.A7	4
AHF21228.1.A8	4
AEZ51520.1.A1	4
AEZ51520.1.A3	4
AJM89738.1.A1	4
WP_129549303.1.A2	4
WP_129549303.1.A7	4
WP_129549303.1.A8	4
AFJ14793.1.A1	4
AFJ14794.1.A2	4
AFJ14794.1.A5	4
ACA97576.1.A3	4
ACA97576.1.A4	4
ACA97580.1.A4|B9TTF7.A4	4
ACA97580.1.A5|B9TTF7.A5	4
AEZ51516.1.A3	4
AEZ51516.1.A4	4
AEZ51520.1.A4	4
AEZ51520.1.A5	4
AJM89735.1.A3	4
AJM89735.1.A4	4
AJM89738.1.A4	4
AJM89738.1.A5	4
CUX79060.1.A1	4
CUX79060.1.A2	4
CUX79060.1.A3	4
CUX79061.1.A3	4
CUX79061.1.A4	4
WP_013310343.1.A1	5
WP_039806850.1.A2	6
CAM56770.1.A6	7
