domain	clade
ADQ74618.1.A1	0
A0FCL0.A1	1
CAA60461.1.A1|Q54298.A1	1
AAC68816.1.A1|Q9ZGA6.A1	1
AAF86395.1.A1|Q9KID8.A1	1
CDF96614.1.A2	2
WP_051462298.1.A2	2
APZ78729.1.A3	2
AQM37584.1.A2	2
APZ78744.1.A2	2
APZ78756.1.A2	2
APZ78809.1.A2	2
APZ78782.1.A2	2
APZ78769.1.A2	2
APZ78795.1.A2	2
WP_004571777.1.A2	2
QUS58936.1.A2	2
ADZ24999.1.A1	3
ADA69239.2.A2	4
QUS58938.1.A2	4
AXM43052.1.A3	4
AWI62627.1.A1	4
AHJ31215.1.A2	4
WP_012408786.1.A2	4
AAF17281.1.A2	4
Q9RAH1.A2	4
AVR48535.1.A2	4
AEU11003.1.A1	4
AEU11003.1.A4	4
AIW82277.1.A2	4
AXN93575.1.A2|AXN93584.1.A2	4
AXN93592.1.A2	4
AXN93605.1.A2	4
AXM43052.1.A2	4
AWI62628.1.A2	4
CAF05647.1.A1|Q5ZPB0.A1	4
ADH04678.1.A1	4
ATD51279.1.A1	5
ATD51280.1.A1	5
CDG17980.1.A1	5
CDG17982.1.A3	5
AAF99707.2.A2	5
Q9FDB3.A2	5
KPN93063.1.A2	5
AHZ34238.1.A2	5
CCJ67636.1.A2	5
AFH75320.1.A2	5
APU91750.1.A2	5
AXA91302.1.A3	5
AXA91301.1.A1	5
AXA91302.1.A1	5
QKM21620.1.A4	5
NHN68325.1.A4	5
CDG76959.1.A1	6
WP_078889006.1.A1	6
BAA06146.1.A1|P0C063.A1|Q44928.A1	7
CAA43838.1.A1	7
BAH43765.1.A1	7
AAC45929.1.A1|O30408.A1	7
AGM16413.1.A5	7
AHD05678.1.A4	7
BAB69699.1.A4|Q93I55.A4	7
AAF08796.1.A4|Q9R9J0.A4	7
ABS74206.1.A1	7
ABS74180.1.A3|CAE11249.1.A3	7
AAN07013.1.A3	7
CAA84363.1.A1|P94459.A1	7
AAB80955.2.A1|O30980.A1	7
Ga0173608_11676.A5	8
Ga0173608_111990.A4	8
Ga0173608_111498.A5	8
Ga0173608_112008.A10	8
Ga0173608_112008.A5	8
Ga0173608_112053.A2	8
Ga0173608_111792.A2	8
AAT28740.1.A1	9
Q9KWY7.A1	10
MBA5221218.1.A1	11
ATG32071.1.A1	11
AGC24265.1.A1	11
AWS21276.1.A1|AZY92000.1.A1	11
AEH42484.1.A1	11
ACN69986.1.A1	11
AXG22420.1.A1	11
CBW75455.1.A1|QIH29226.1.A1	11
ACR33075.1.A1	11
ADZ24989.1.A1	11
P95819.A1	12
WP_013184463.1.A3	13
SOV25620.1.A3	13
WP_064118616.1.A1	14
ACJ04424.1.A5|B6SF67.A5	15
BBC83957.1.A2	16
AGA37267.1.A1	17
AFUA_8G00170.A2|BAH23995.1.A2	18
ACZ66258.1.A1|D2IKP5.A1	19
AGQ43600.1.A1	19
AAA33023.2.A1|Q01886.A1	19
BAO73252.1.A3	20
AAM78457.1.A13	21
AFUA_8G00170.A1|BAH23995.1.A1	22
AGC83576.1.A1	22
ADM34138.1.A1	22
CAB39315.1.A3|O94205.A3	23
CRG85572.1.A2	24
astN.A2	24
MAA_10043.A3	25
CBL93716.1.A1	26
AFK57214.1.A1	27
AFK57220.1.A1	27
QED88054.1.A3	28
QED88055.1.A2	28
CAJ18237.2.A2	29
AEG64696.1.A2	29
AEA30273.1.A2	29
CAA72310.1.A1|O05647.A1	29
CAA67249.1.A1|O07944.A1	29
CAA67249.1.A3|O07944.A3	29
CAM56771.1.A2	29
AEG64698.1.A2	29
ALV86867.1.A3	29
ALV86868.1.A2	29
QBC75022.1.A3	29
QED55422.1.A3	29
QBG38783.1.A2	29
AKC91856.1.A2	30
ADG27359.1.A1|Q9L8H4.A1	31
ATJ34002.1.A1	32
PHM26613.1.A2	33
EFY95969.1.A1|EXU97982.1.A1	34
AQV04224.1.A1	34
AQV04230.1.A1	34
CBW75453.1.A2|QIH29228.1.A2	35
